chr	start	end	actual_start	actual_end	signal	kappa	tau	W	P_KS	P_KS_k1	P_KS_k2	P_KS_k3	P_KS_k4	P_KS_k5	burden_MAF<0.01&MAC>25&Beta	dispersion_MAF<0.01&MAC>25&Beta	singleCauchy
1	748573	758573	750230	755435	0	1	0.256928884802869	0	0.724417623911478	0.538101279677727	0.973250325027199	0.972283486523826	0.97145097980956	0.986391150405926	0.733320360364591	0.61136452455131	0.789804906357251
1	751073	756073	754433	755435	0	0	0.144192103517799	0.144192103517799	0.687166720088422	0.775440887691321	0.957754545231476	0.972738103751418	0.957046057023279	0.977904538325878	0.415798106768822	0.563707581853807	0.856631263272552
1	753573	763573	754433	759600	0	0	0.227600292109081	0.227600292109081	0.575129901501534	0.972049643107618	0.970100711343287	0.971437621355598	0.967901787045413	0.971328741483882	0.745597818717205	0.262812339790241	0.688205167177592
1	768573	778573	775426	776556	0	3	0.845132677121374	0	0.943560792798335	0.969521521344134	0.975953403013061	0.13854900164238	0.970379875547257	0.96992036430057	0.62508546239536	0.736059753512892	0.979374691238398
1	773573	783573	775426	781367	0	3	0.0807918245562413	0	0.94288869660016	0.97000313840076	0.976303678432619	0.805371003302794	0.972290900350642	0.970035914215032	0.903843049459344	0.889545465025109	0.969964964526594
1	778573	788573	781367	783711	0	0	0.122203368051705	0.122203368051705	0.733699553457608	0.972123905073911	0.973939706151442	0.976031552679831	0.97124539015321	0.969483100418626	0.550834646289158	0.849143560733522	0.671263852039237
1	788573	798573	794283	795319	0	0	1.06434351623451	1.06434351623451	0.0801689038684763	0.68347953678099	0.899581728897991	0.975072936480115	0.929714194969005	0.975228498350635	0.122273782328767	0.12108221017911	0.0472736258957349
1	793573	803573	794283	801848	0	0	0.778987955498627	0.778987955498627	0.113800031919893	0.533102473319616	0.684116931937266	0.975318642562452	0.618993943574302	0.879109422442746	0.120965952053738	0.221218452128537	0.0722815673963449
1	803573	813573	811215	813554	0	4	1.71012611771316	0	0.886247752604637	0.917489877909278	0.937191685311567	0.903989766827794	0.0176212777457063	0.76257758637364	0.858012303475619	0.9249241429441	0.837249145247441
1	808573	818573	811215	817145	0	4	1.53005684487252	0	0.682961338894654	0.728386072214126	0.952334451003974	0.335552494707603	0.020152980048679	0.128489711747363	0.520110790011803	0.785350092081758	0.6787117245597
1	811073	816073	811215	815338	0	4	2.05073354041959	0	0.777294720569095	0.969435019149602	0.971385848348801	0.873150786929893	0.00835109223779229	0.938591940973075	0.743652298075493	0.824700041321272	0.745965377624591
1	813573	818573	815338	817145	0	3	0.742721823635885	0	0.332038802301847	0.289521281361363	0.811372614814525	0.0523550608351772	0.271276985356336	0.12497606015836	0.287100884100994	0.369778222138138	0.346259029974436
1	813573	823573	815338	819467	0	3	0.737512027783156	0	0.451376969097129	0.489908882404466	0.969810278124426	0.0832563167608988	0.454913915372368	0.225282791550962	0.658545223931784	0.386035241036735	0.320704115179359
1	816073	821073	817145	819467	0	5	0.300116471686448	0	0.878995608819342	0.32591893018976	0.343139810131166	0.474287006835218	0.358603010527333	0.179679056952443	0.962813707479814	0.382834532137487	0.321644159191322
1	818573	828573	819467	825125	0	0	0.761722630150242	0.761722630150242	0.104080988491679	0.395526052774007	0.261663128834908	0.763738583180971	0.601303924526994	0.972723731580768	0.931388192503763	0.0358776638221867	0.0684512910697094
1	821073	826073	824876	825125	0	0	0.9451468886057	0.9451468886057	0.0533725489769192	0.291548063677913	0.303734931849675	0.555278971971944	0.470397313786604	0.939742641328486	0.387488190150959	0.0290939028187862	0.0490014574296065
1	823573	833573	824876	830791	0	0	0.294702223160492	0.294702223160492	0.406425721440279	0.476226952159022	0.80109386993218	0.807098449011748	0.416904723675092	0.935444781576042	0.875842904937087	0.226192914250657	0.136973372441554
1	826073	831073	829171	830791	0	4	0.663289132441256	0	0.717152529794529	0.969658730989977	0.980840723370004	0.877041333220892	0.210537654248793	0.971993141582925	0.518980712988224	0.831720271519371	0.68686265902939
1	828573	838573	829171	835207	0	3	10.6436448918686	0	0.462340557253807	0.918680420958151	0.82850600449201	1.25062182831925e-11	0.366577917224175	0.550517205210468	0.278766652349336	0.733726070826051	0.371967782292571
1	829073	830073	829171	829743	0	4	0.192958648511434	0	0.625093159895094	0.708459117215475	0.897398196912377	0.511845513400562	0.454314026174205	0.972334965684495	0.465093175977167	0.709943111589684	0.666912605749926
1	831073	836073	834137	835207	0	3	20.9300318225117	0	0.285670998067084	0.905511076590853	0.665551745604031	6.1737017242684e-22	0.525505741922603	0.218453793018972	0.337233585411783	0.402621839887777	0.185599576893799
1	833573	834573	834137	834204	0	3	1.64338019894678	0	0.140027221408531	0.975572592340736	0.969432664927822	0.0220255818484625	0.96896388162095	0.654257365584992	0.118138056424831	0.221233175333634	0.116666881928014
1	833573	843573	834137	843340	0	3	14.4616631588755	0	0.270190109570835	0.927181470840411	0.72471344688317	1.99840144432528e-15	0.578556655334206	0.419637855476747	0.472128389338247	0.307866805568889	0.156705473073553
1	838573	843573	843182	843340	0	0	0.13849071975266	0.13849071975266	0.705357556376536	0.970286620818118	0.969957262977981	0.970582494707293	0.968924898618818	0.970529003124825	0.945808747222934	0.224805853426566	0.126284179837067
1	838573	848573	843182	848527	0	5	2.56038357859572	0	0.421834547116267	0.314366826941504	0.12947934811419	0.726148463406507	0.670839849702381	0.00116080311756839	0.80083290490069	0.246162590537772	0.233215091982171
1	843573	848573	848358	848527	0	5	5.90486643215127	0	0.519210013988394	0.16265763860951	0.00762502899490281	0.649775562247297	0.569745102499026	6.46363208289813e-07	0.760459350075393	0.322057561560845	0.418699176822948
1	843573	853573	848358	853478	0	5	3.29626927278001	0	0.4835829429993	0.246021234731245	0.117621232420021	0.572799918614344	0.769775391191202	0.000244456562884188	0.396549609781922	0.544118874242208	0.513546786085635
1	846073	851073	848358	850487	0	5	3.67237784008893	0	0.629098219234523	0.229694575598842	0.0638545388643044	0.45805065467735	0.697403681142502	9.73947771267802e-05	0.71136751448671	0.583178552830972	0.574411992045819
1	848573	853573	850487	853478	0	3	0.15967349578772	0	0.550886220239169	0.671275656721538	0.864887001603378	0.464758565257828	0.972919343646141	0.533902717049716	0.3975069082604	0.598345887708483	0.647108607430969
1	848573	858573	850487	854838	0	3	0.25258052490178	0	0.634803419455563	0.92890417125355	0.97042156951002	0.519266598993998	0.970824204888352	0.743593430123535	0.715707073861632	0.616568769595699	0.551744153008624
1	851073	856073	853478	854838	0	0	0.292876395948758	0.292876395948758	0.49465031508923	0.975877600953076	0.970296296633902	0.97246571683719	0.968885824632235	0.9709004133983	0.760054285307521	0.354008764060955	0.322898776173002
1	853573	863573	854838	858867	0	0	0.576350755159347	0.576350755159347	0.257106121337788	0.969817103857115	0.969498472389289	0.963352282625609	0.969311068331551	0.966368784794492	0.165294418290618	0.352004935015867	0.323819249311608
1	858573	868573	858867	868337	0	2	1.28898107418415	0	0.350557704004395	0.94735707677895	0.0431410774526462	0.916044221976247	0.83921272728361	0.225384102388539	0.151201695069387	0.62232101989662	0.505754278403207
1	861073	866073	865628	865738	0	2	1.71223832032065	0	0.419133288421191	0.949435581963137	0.0148376712610587	0.90528182050895	0.764898950567053	0.157858393365602	0.300359959978315	0.528637793950958	0.454358471734887
1	863573	868573	865628	868337	0	2	1.53369424870564	0	0.515947114030284	0.933308120198466	0.0221020395408238	0.898287833099738	0.755312375043488	0.220171772419984	0.292491475552238	0.682496724383703	0.583337996429176
1	863573	873573	865628	871748	0	2	1.06861521886502	0	0.810231586638914	0.974612585523099	0.0793674387491571	0.968826625260524	0.929517529388179	0.368880789322944	0.400705894092165	0.919180809206767	0.731531815451063
1	866073	871073	868337	870873	0	1	0.000945544443401296	0	0.977488688265657	0.970061443199385	0.971265926216088	0.972121976256114	0.972175758421948	0.972580428427174	0.962972564757058	1	0.850544977173599
1	868573	873573	870873	871748	0	1	0.00138543193819522	0	0.974239450482645	0.968335457876061	0.969462461376665	0.98493000134339	0.969775718532629	0.971429452956574	0.907516585734939	1	0.840337623433467
1	868573	878573	870873	877981	0	2	0.00190060477718309	0	0.973403418130658	0.972584033720051	0.966690482532319	0.967090403223995	0.970930284743254	0.970210696073422	0.888038093109544	1	0.78832999963757
1	873573	883573	877981	881070	0	0	0.55212228203999	0.55212228203999	0.272829893998259	0.973672650472322	0.520952986621168	0.347431658402382	0.976739723654	0.972779111283954	0.127216632410508	0.457613850415479	0.469402615842579
1	878573	883573	880483	881070	0	0	0.52921868709943	0.52921868709943	0.287196022084704	0.971397781650866	0.53613779805132	0.930210935918248	0.973330394438555	0.973489069733621	0.157397608371474	0.399476632244694	0.440796786427026
1	878573	888573	880483	888205	0	3	0.73186005312033	0	0.524731106679724	0.821981750261486	0.971061037032129	0.160625695520266	0.918680413814311	0.866313484327776	0.761093823508741	0.392609543797404	0.355510414809944
1	880573	881573	880751	881070	0	0	0.60427027340626	0.60427027340626	0.24076138292131	0.966372975930062	0.972025211702552	0.921089058344875	0.970885020270345	0.967959312963408	0.162219010075626	0.335122997438964	0.281342706439506
