chr	start	end	actual_start	actual_end	signal	kappa	tau	W	P_KS	P_KS_k1	P_KS_k2	P_KS_k3	P_KS_k4	P_KS_k5	MAF
1	769223	769223	769223	769223	0	1	0.310872261676927	0	0.500292550826083	0.29093703063872	0.595211431665008	0.63969983769425	0.530118026652905	0.953602984621663	0.12784632360317
1	801536	801536	801536	801536	0	1	0.462613866640208	0	0.330519284240775	0.201011172559469	0.794478464098199	0.228729043188823	0.838040086769879	0.583222222577563	0.0159
1	833927	833927	833927	833927	0	0	0.129590448170344	0.129590448170344	0.251478505405058	0.254337013787072	0.982884171938512	0.338915412112477	0.259762934267989	0.360395372796316	0.211963067041349
1	834263	834263	834263	834263	0	4	1.28858722553402	0	0.710218698499477	0.860590564318901	0.997205615144464	0.249771959040863	0.0365430571071634	0.590097477167157	0.0217762167586553
1	837657	837657	837657	837657	0	4	1.31339271173381	0	0.804936689831776	0.935113089855732	0.650799257316706	0.90211308927702	0.0391173126931342	0.666284070817228	0.0158253205128205
1	840753	840753	840753	840753	0	4	1.32317412752395	0	0.937543734682944	0.701229878090117	0.0649050887809713	0.231204412446648	0.0288099243811047	0.606340036973723	0.404
1	844300	844300	844300	844300	0	3	0.816675635844403	0	0.609067030091854	0.478462299785046	0.0527817879977976	0.0506410686099175	0.0664868470625692	0.332030895928278	0.179981911365692
1	850371	850371	850371	850371	0	1	0.674594746044329	0	0.886768682203722	0.1522880077153	0.980385441999705	0.719880568850861	0.338149771355685	0.156686226948615	0.397467974379504
1	851390	851390	851390	851390	0	0	1.39083149964293	1.39083149964293	0.0390517441935633	0.640906837697134	0.995148245662287	0.973822271841778	0.960443751570708	0.25491076961058	0.0419
1	862772	862772	862772	862772	0	3	1.67497434128298	0	0.336093256772053	0.415568223334715	0.493499470144627	0.00878350777964824	0.376763952402905	0.938132575973337	0.03035
1	864490	864490	864490	864490	0	5	1.40901186873378	0	0.32348658347871	0.883807435718602	0.624557974004163	0.421564443675188	0.98574706881783	0.0243534721582651	0.0409
1	867663	867663	867663	867663	0	5	0.665570469091355	0	0.114930238547869	0.254923488722071	0.594490923482051	0.746775756454328	0.301737085958501	0.0651715759010663	0.0192982456140351
1	872352	872352	872352	872352	0	5	1.22781204743174	0	0.385132747163095	0.388297630243468	0.0429053725972088	0.67357947386618	0.0896789524768938	0.022792837805431	0.268009645333066
1	876499	876499	876499	876499	0	3	0.521205167668761	0	0.432279774667152	0.597337128735481	0.578279203793705	0.130184640681955	0.186692250466015	0.239462683676841	0.0521521521521522
1	878331	878331	878331	878331	0	1	1.02813017940298	0	0.786816125282177	0.0737467817014017	0.92088380708538	0.197326721238263	0.927087561085749	0.396694286817366	0.0130840184479647
1	879482	879482	879482	879482	0	0	1.03698730351557	1.03698730351557	0.0338443786644891	0.368530850119826	0.440807616700225	0.946343225544948	0.11966941409312	0.176664400526083	0.011623246492986
1	881918	881918	881918	881918	0	3	0.684322643342965	0	0.949775193859631	0.174605004954817	0.489780599192872	0.101316209850708	0.624373988530281	0.483282698804785	0.0705
1	891620	891620	891620	891620	0	0	0.359841533844539	0.359841533844539	0.221219929197384	0.442848353782082	0.409752831517005	0.506600696839827	0.635973346986755	0.618051611139434	0.0187449474535166
1	894519	894519	894519	894519	0	1	0.908117460037987	0	0.97506413177408	0.109635020423139	0.503301039071119	0.359688850875739	0.972518554267579	0.887292400497273	0.02205
