"","chr","start","end","TargetGene","activity","hic_contact","ABC_Score","CellType"
"76479","chr6",319124,320090,"DUSP22",21.6598,28.5452,0.0216,"GM12878"
"76480","chr6",290393,290893,"DUSP22",9.3143,100,0.0325,"GM12878"
"76481","chr6",296194,297063,"DUSP22",26.0014,100,0.0909,"GM12878"
"76482","chr6",293205,293705,"DUSP22",17.1018,100,0.0598,"GM12878"
"76483","chr6",286172,287282,"DUSP22",8.4578,77.5758,0.0229,"GM12878"
"76484","chr6",226666,228596,"DUSP22",54.4708,19.1098,0.0364,"GM12878"
"76485","chr6",297396,298139,"DUSP22",9.8259,100,0.0343,"GM12878"
"76486","chr6",304786,306348,"DUSP22",49.548,33.2819,0.0576,"GM12878"
"76487","chr6",298524,299024,"DUSP22",7.3999,100,0.0259,"GM12878"
"76488","chr6",291151,293097,"DUSP22",86.2098,100,0.3012,"GM12878"
"76489","chr6",403577,405458,"IRF4",8.3302,36.9474,0.0201,"GM12878"
"76490","chr6",395601,396555,"IRF4",5.2726,100,0.0344,"GM12878"
"76491","chr6",393798,394298,"IRF4",4.6026,100,0.0301,"GM12878"
"76492","chr6",296194,297063,"IRF4",26.0014,14.8508,0.0252,"GM12878"
"76493","chr6",397701,398567,"IRF4",3.2218,100,0.021,"GM12878"
"76494","chr6",391488,392014,"IRF4",7.2508,100,0.0474,"GM12878"
"76495","chr6",221021,222491,"IRF4",24.8871,14.597,0.0237,"GM12878"
"76496","chr6",226666,228596,"IRF4",54.4708,13.2278,0.0471,"GM12878"
"76497","chr6",390909,391409,"IRF4",7.5404,100,0.0492,"GM12878"
"76498","chr6",328091,328591,"IRF4",16.6625,19.2705,0.021,"GM12878"
"76499","chr6",304786,306348,"IRF4",49.548,10.4156,0.0337,"GM12878"
"76500","chr6",291151,293097,"IRF4",86.2098,16.9734,0.0956,"GM12878"
"76501","chr6",389378,390783,"IRF4",14.5005,100,0.0947,"GM12878"
"76502","chr6",228934,229737,"EXOC2",21.0312,4.0456,0.0203,"GM12878"
"76503","chr6",684673,685173,"EXOC2",2.6495,48.7933,0.0308,"GM12878"
"76504","chr6",221021,222491,"EXOC2",24.8871,5.0259,0.0298,"GM12878"
"76505","chr6",226666,228596,"EXOC2",54.4708,4.0458,0.0525,"GM12878"
"76506","chr6",710815,712336,"EXOC2",8.2891,29.0457,0.0573,"GM12878"
"76507","chr6",304786,306348,"EXOC2",49.548,3.6323,0.0428,"GM12878"
