"","chr","start","end","TargetGene","activity","hic_contact","ABC_Score","CellType"
"63340","chr3",202474,202974,"CHL1",0.3366,27.4718,0.0214,"GM12878"
"63341","chr3",212204,212852,"CHL1",1.9447,14.9758,0.0674,"GM12878"
"63342","chr3",3126277,3127348,"CHL1",13.3318,0.7966,0.0246,"GM12878"
"63343","chr3",277803,279150,"CHL1",7.7856,4.0787,0.0734,"GM12878"
"63344","chr3",173802,174478,"CHL1",0.8769,18.5692,0.0377,"GM12878"
"63345","chr3",463293,464793,"CHL1",5.523,2.4303,0.031,"GM12878"
"63346","chr3",289859,290749,"CHL1",2.567,4.4039,0.0261,"GM12878"
"63347","chr3",197091,197591,"CHL1",0.3837,100,0.0888,"GM12878"
"63348","chr3",196068,196845,"CHL1",0.6822,100,0.1578,"GM12878"
"63349","chr3",201876,202376,"CHL1",0.3711,27.4432,0.0236,"GM12878"
"63350","chr3",3127423,3127923,"TRNT1",3.6104,100,0.1137,"GM12878"
"63351","chr3",3126277,3127348,"TRNT1",13.3318,100,0.4198,"GM12878"
"63352","chr3",3119240,3119740,"TRNT1",0.71,100,0.0224,"GM12878"
"63353","chr3",3109357,3110096,"TRNT1",1.792,47.401,0.0267,"GM12878"
"63354","chr3",3110124,3110690,"TRNT1",1.5691,47.373,0.0234,"GM12878"
"63355","chr3",3179467,3180253,"CRBN",3.215,100,0.2208,"GM12878"
"63356","chr3",4775425,4777521,"CRBN",39.9255,0.8496,0.0233,"GM12878"
"63357","chr3",3127423,3127923,"CRBN",3.6104,12.8731,0.0319,"GM12878"
"63358","chr3",4303053,4304244,"CRBN",10.1878,5.8241,0.0408,"GM12878"
"63359","chr3",3126277,3127348,"CRBN",13.3318,12.8766,0.1179,"GM12878"
"63360","chr3",4473933,4475287,"SETMAR",7.9946,7.4758,0.0287,"GM12878"
"63361","chr3",4775425,4777521,"SETMAR",39.9255,1.0927,0.021,"GM12878"
"63362","chr3",4754046,4754716,"SETMAR",16.3446,2.8956,0.0228,"GM12878"
"63363","chr3",4978221,4979661,"SETMAR",26.8677,1.7011,0.022,"GM12878"
"63364","chr3",4303053,4304244,"SETMAR",10.1878,62.1481,0.3045,"GM12878"
"63365","chr3",3126277,3127348,"SETMAR",13.3318,3.1732,0.0203,"GM12878"
"63366","chr3",4492913,4494078,"SETMAR",10.3177,4.1004,0.0203,"GM12878"
"63367","chr3",4507931,4508431,"SUMF1",4.3362,22.7922,0.03,"GM12878"
"63368","chr3",4473933,4475287,"SUMF1",7.9946,39.4593,0.0956,"GM12878"
"63369","chr3",4775425,4777521,"SUMF1",39.9255,1.7359,0.021,"GM12878"
"63370","chr3",4978221,4979661,"SUMF1",26.8677,2.613,0.0213,"GM12878"
"63371","chr3",4494270,4495233,"SUMF1",4.519,22.7003,0.0311,"GM12878"
"63372","chr3",4466688,4467551,"SUMF1",5.4006,100,0.1637,"GM12878"
"63373","chr3",4303053,4304244,"SUMF1",10.1878,8.0389,0.0248,"GM12878"
"63374","chr3",4492913,4494078,"SUMF1",10.3177,22.6835,0.071,"GM12878"
"63375","chr3",4426724,4427224,"SUMF1",3.2189,23.2609,0.0227,"GM12878"
"63376","chr3",4504248,4504748,"ITPR1",2.097,55.029,0.0253,"GM12878"
"63377","chr3",4507931,4508431,"ITPR1",4.3362,55.2441,0.0525,"GM12878"
"63378","chr3",4495329,4495829,"ITPR1",1.2851,100,0.0282,"GM12878"
"63379","chr3",4473933,4475287,"ITPR1",7.9946,29.944,0.0525,"GM12878"
"63380","chr3",4496140,4496640,"ITPR1",1.0335,100,0.0227,"GM12878"
"63381","chr3",4978221,4979661,"ITPR1",26.8677,4.3531,0.0257,"GM12878"
"63382","chr3",4494270,4495233,"ITPR1",4.519,100,0.0991,"GM12878"
"63383","chr3",4466688,4467551,"ITPR1",5.4006,18.2042,0.0216,"GM12878"
"63384","chr3",4506998,4507498,"ITPR1",1.8986,55.1936,0.023,"GM12878"
"63385","chr3",4492913,4494078,"ITPR1",10.3177,100,0.2263,"GM12878"
"63386","chr3",4503047,4503547,"ITPR1",1.9009,100,0.0417,"GM12878"
"63387","chr3",5011384,5012096,"BHLHE40-AS1",9.0911,26.6946,0.0213,"GM12878"
"63388","chr3",4775425,4777521,"BHLHE40-AS1",39.9255,12.5205,0.0439,"GM12878"
"63389","chr3",4754046,4754716,"BHLHE40-AS1",16.3446,15.6652,0.0225,"GM12878"
"63390","chr3",4978221,4979661,"BHLHE40-AS1",26.8677,100,0.2362,"GM12878"
"63391","chr3",4977156,4978198,"BHLHE40-AS1",20.8798,41.8701,0.0768,"GM12878"
"63392","chr3",4985894,4987231,"BHLHE40-AS1",11.5709,100,0.1017,"GM12878"
"63393","chr3",4850157,4851267,"BHLHE40-AS1",12.3588,21.3453,0.0232,"GM12878"
"63394","chr3",4984051,4984551,"BHLHE40-AS1",8.9581,100,0.0787,"GM12878"
"63395","chr3",4979711,4980211,"BHLHE40-AS1",6.6567,100,0.0585,"GM12878"
"63396","chr3",4830802,4831985,"BHLHE40-AS1",14.2251,19.6466,0.0246,"GM12878"
"63397","chr3",4980230,4980730,"BHLHE40-AS1",6.133,100,0.0539,"GM12878"
"63398","chr3",5011384,5012096,"BHLHE40",9.0911,26.7021,0.0213,"GM12878"
"63399","chr3",4775425,4777521,"BHLHE40",39.9255,12.5199,0.0439,"GM12878"
"63400","chr3",4754046,4754716,"BHLHE40",16.3446,15.6645,0.0225,"GM12878"
"63401","chr3",4978221,4979661,"BHLHE40",26.8677,100,0.2362,"GM12878"
"63402","chr3",4977156,4978198,"BHLHE40",20.8798,41.8079,0.0767,"GM12878"
"63403","chr3",4985894,4987231,"BHLHE40",11.5709,100,0.1017,"GM12878"
"63404","chr3",4850157,4851267,"BHLHE40",12.3588,21.3437,0.0232,"GM12878"
"63405","chr3",4984051,4984551,"BHLHE40",8.9581,100,0.0788,"GM12878"
"63406","chr3",4979711,4980211,"BHLHE40",6.6567,100,0.0585,"GM12878"
"63407","chr3",4830802,4831985,"BHLHE40",14.2251,19.6453,0.0246,"GM12878"
"63408","chr3",4980230,4980730,"BHLHE40",6.133,100,0.0539,"GM12878"
"63409","chr3",5121963,5122494,"ARL8B",3.7437,100,0.0855,"GM12878"
"63410","chr3",5139389,5140640,"ARL8B",9.1172,23.2813,0.0485,"GM12878"
"63411","chr3",5115397,5116128,"ARL8B",1.737,76.0664,0.0302,"GM12878"
"63412","chr3",4775425,4777521,"ARL8B",39.9255,4.4346,0.0404,"GM12878"
"63413","chr3",4978221,4979661,"ARL8B",26.8677,4.8287,0.0296,"GM12878"
"63414","chr3",4977156,4978198,"ARL8B",20.8798,6.373,0.0304,"GM12878"
"63415","chr3",5136575,5137455,"ARL8B",6.0505,27.4014,0.0378,"GM12878"
"63416","chr3",5187225,5187923,"ARL8B",10.4645,14.3605,0.0343,"GM12878"
"63417","chr3",5122721,5123783,"ARL8B",6.1975,100,0.1415,"GM12878"
"63418","chr3",5186119,5186798,"ARL8B",7.0623,14.3563,0.0231,"GM12878"
"63419","chr3",5197351,5198005,"ARL8B",7.898,17.0511,0.0307,"GM12878"
"63420","chr3",5188599,5189099,"ARL8B",7.2586,13.0785,0.0217,"GM12878"
"63421","chr3",5185417,5185917,"EDEM1",2.1324,100,0.037,"GM12878"
"63422","chr3",5190329,5190829,"EDEM1",2.9971,45.5631,0.0237,"GM12878"
"63423","chr3",5139389,5140640,"EDEM1",9.1172,22.1806,0.0351,"GM12878"
"63424","chr3",5181737,5182237,"EDEM1",2.7867,100,0.0483,"GM12878"
"63425","chr3",5199119,5199787,"EDEM1",5.6127,21.2391,0.0207,"GM12878"
"63426","chr3",5136575,5137455,"EDEM1",6.0505,19.4467,0.0204,"GM12878"
"63427","chr3",5187225,5187923,"EDEM1",10.4645,100,0.1814,"GM12878"
"63428","chr3",5191539,5192414,"EDEM1",6.1604,45.7039,0.0488,"GM12878"
"63429","chr3",5186119,5186798,"EDEM1",7.0623,100,0.1224,"GM12878"
"63430","chr3",5197351,5198005,"EDEM1",7.898,33.3006,0.0456,"GM12878"
"63431","chr3",5188599,5189099,"EDEM1",7.2586,45.3502,0.0571,"GM12878"
"63432","chr3",8503473,8504736,"LMCD1",6.0683,100,0.2905,"GM12878"
"63433","chr3",9396065,9398039,"LMCD1",43.7842,1.1448,0.024,"GM12878"
"63434","chr3",8507425,8507925,"LMCD1",1.326,100,0.0635,"GM12878"
