"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","B3GALT5","GH21F039630","chr21",39630072,39635066,1.29,10.94
"2","SLC5A3","GH21F034016","chr21",34016902,34024799,1.37,12.31
"3","MRPS6","GH21F034016","chr21",34016902,34024799,1.37,12.31
"4","GART","GH21F034016","chr21",34016902,34024799,1.37,4.46
"5","SON","GH21F034016","chr21",34016902,34024799,1.37,3.17
"6","URB1","GH21F032351","chr21",32351552,32351721,0.62,10.95
"7","TCP10L","GH21F032351","chr21",32351552,32351721,0.62,10.63
"8","CBR3","GH21F036162","chr21",36162801,36164762,0.99,12.14
"9","FAM207A","GH21F045001","chr21",45000459,45001967,0.71,7.32
"10","N6AMT1","GH21F028857","chr21",28857394,28858291,1.1,9.1
"11","ETS2","GH21F038800","chr21",38800046,38815500,1.43,36.39
"12","HMGN1","GH21F038800","chr21",38800046,38815500,1.43,23.24
"13","BRWD1","GH21F038800","chr21",38800046,38815500,1.43,21.67
"14","ERG","GH21F038800","chr21",38800046,38815500,1.43,10.46
"15","BACE2","GH21F041217","chr21",41217143,41218923,1.02,16.09
"16","PDXK","GH21F043607","chr21",43607497,43610791,1.07,13.12
"17","HSF2BP","GH21F043607","chr21",43607497,43610791,1.07,12.03
"18","SIK1","GH21F043607","chr21",43607497,43610791,1.07,5.27
"19","IGSF5","GH21F039643","chr21",39643034,39645082,1.08,7.05
"20","IFNAR1","GH21F033307","chr21",33307884,33310529,1.1,12.77
"21","IFNAR2","GH21F033307","chr21",33307884,33310529,1.1,11.52
"22","URB1","GH21F033307","chr21",33307884,33310529,1.1,4.29
"23","IL10RB","GH21F033307","chr21",33307884,33310529,1.1,0.24
"24","MORC3","GH21F035474","chr21",35474802,35479067,1.39,14.53
"25","RUNX1","GH21F035474","chr21",35474802,35479067,1.39,4.08
"26","ADARB1","GH21F045132","chr21",45132928,45133118,0.4,11.47
"27","ITGB2","GH21F045132","chr21",45132928,45133118,0.4,7.61
"28","KRTAP12-2","GH21F045132","chr21",45132928,45133118,0.4,1.62
"29","KRTAP12-1","GH21F045132","chr21",45132928,45133118,0.4,1.62
"30","KRTAP10-11","GH21F045132","chr21",45132928,45133118,0.4,1.54
"31","OLIG1","GH21F033042","chr21",33042201,33042600,0.25,17.97
"32","GRIK1","GH21F030062","chr21",30062002,30062199,0.25,0.11
"33","CLIC6","GH21F034727","chr21",34727737,34729292,0.25,6.86
"34","COL18A1","GH21F045347","chr21",45347578,45350800,1.15,24.7
"35","MCM3AP","GH21F045347","chr21",45347578,45350800,1.15,14.63
"36","DSCAM","GH21F040176","chr21",40176774,40176923,0.52,26.24
"37","GABPA","GH21F025647","chr21",25647601,25648199,0.65,10.49
"38","HSF2BP","GH21F043618","chr21",43618420,43620201,0.25,23.01
"39","RRP1B","GH21F043618","chr21",43618420,43620201,0.25,11.2
"40","PDXK","GH21F043618","chr21",43618420,43620201,0.25,10.73
"41","SIK1","GH21F043618","chr21",43618420,43620201,0.25,10.64
"42","USP25","GH21F015808","chr21",15808824,15809631,0.25,11.29
"43","RUNX1","GH21F035007","chr21",35007279,35007619,0.61,1.58
"44","APP","GH21F026098","chr21",26098397,26099558,0.52,16.71
"45","MRPS6","GH21F034115","chr21",34115986,34117922,0.95,6.09
"46","UBE2G2","GH21F044768","chr21",44768220,44769059,0.25,9.4
"47","ADAMTS5","GH21F027082","chr21",27082102,27082954,0.25,0.12
"48","APP","GH21F026157","chr21",26157801,26159072,0.84,8.98
"49","TMEM50B","GH21F033428","chr21",33428261,33430223,0.38,43.23
"50","IFNAR2","GH21F033428","chr21",33428261,33430223,0.38,11.15
"51","IFNGR2","GH21F033428","chr21",33428261,33430223,0.38,0.29
"52","CBR3","GH21F036112","chr21",36112363,36115799,0.83,20.13
"53","SETD4","GH21F036112","chr21",36112363,36115799,0.83,12.44
"54","TTC3","GH21F036112","chr21",36112363,36115799,0.83,12.36
"55","PCBP3","GH21F045617","chr21",45617402,45618000,0.46,20.77
"56","SAMSN1","GH21F014520","chr21",14520001,14524200,0.71,10.37
"57","NRIP1","GH21F014520","chr21",14520001,14524200,0.71,9.67
"58","HSPA13","GH21F014520","chr21",14520001,14524200,0.71,0.11
"59","KCNJ6","GH21F037918","chr21",37916358,37916527,0.25,0.76
"60","TMEM50B","GH21F033824","chr21",33824637,33826502,0.38,7.14
"61","CRYZL1","GH21F033824","chr21",33824637,33826502,0.38,0.08
"62","PAXBP1","GH21F032818","chr21",32818718,32820539,0.38,10.72
