"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","KLF2","GH19F016301","chr19",16301806,16302739,1.2,12.64
"2","EPS15L1","GH19F016442","chr19",16442202,16451399,1.36,34.33
"3","C19orf44","GH19F016442","chr19",16442202,16451399,1.36,20.3
"4","RAB8A","GH19F016442","chr19",16442202,16451399,1.36,6.17
"5","MED26","GH19F016442","chr19",16442202,16451399,1.36,5.54
"6","HSH2D","GH19F016442","chr19",16442202,16451399,1.36,5.48
"7","SMIM7","GH19F016442","chr19",16442202,16451399,1.36,5.1
"8","GTPBP3","GH19F016442","chr19",16442202,16451399,1.36,5.04
"9","KLF2","GH19F016442","chr19",16442202,16451399,1.36,2.61
"10","ZNF681","GH19F023757","chr19",23757679,23759548,0.56,0.76
"11","ZNF254","GH19F024032","chr19",24032513,24035368,0.9,2.09
"12","HSD17B14","GH19F048838","chr19",48838844,48838973,0.65,30.43
"13","TEAD2","GH19F048838","chr19",48838844,48838973,0.65,23.53
"14","PLEKHA4","GH19F048838","chr19",48838844,48838973,0.65,14.93
"15","KDELR1","GH19F048838","chr19",48838844,48838973,0.65,14.66
"16","RRAS","GH19F048838","chr19",48838844,48838973,0.65,12.44
"17","GRWD1","GH19F048838","chr19",48838844,48838973,0.65,11.63
"18","CD70","GH19F006750","chr19",6750130,6750399,0.38,5.48
"19","TRIP10","GH19F006750","chr19",6750130,6750399,0.38,0.36
"20","PGPEP1","GH19F018392","chr19",18392091,18392812,0.59,5.39
"21","KCNN1","GH19F018392","chr19",18392091,18392812,0.59,5.25
"22","LRRC25","GH19F018392","chr19",18392091,18392812,0.59,0.4
"23","COX6B1","GH19F035749","chr19",35749841,35751039,0.86,28.18
"24","U2AF1L4","GH19F035749","chr19",35749841,35751039,0.86,24.76
"25","UPK1A","GH19F035749","chr19",35749841,35751039,0.86,6.58
"26","LRFN3","GH19F035749","chr19",35749841,35751039,0.86,4.1
"27","MAG","GH19F035749","chr19",35749841,35751039,0.86,1.37
"28","SSBP4","GH19F018407","chr19",18407801,18408800,1.11,10.79
"29","LRRC25","GH19F018407","chr19",18407801,18408800,1.11,6.59
"30","ZNF304","GH19F057338","chr19",57338219,57339279,0.78,0.36
"31","C5AR1","GH19F047323","chr19",47323201,47325400,1.29,27.83
"32","DHX34","GH19F047323","chr19",47323201,47325400,1.29,23.59
"33","ZC3H4","GH19F047323","chr19",47323201,47325400,1.29,17.76
"34","CCDC9","GH19F047323","chr19",47323201,47325400,1.29,11.03
"35","C5AR2","GH19F047323","chr19",47323201,47325400,1.29,10.38
"36","NAPA","GH19F047323","chr19",47323201,47325400,1.29,9.97
"37","ZNF541","GH19F047323","chr19",47323201,47325400,1.29,5.99
"38","NFIC","GH19F003406","chr19",3406517,3410082,1.1,19.69
"39","SMIM24","GH19F003406","chr19",3406517,3410082,1.1,0.18
"40","IZUMO4","GH19F002175","chr19",2175917,2177291,0.71,7.24
"41","AP3D1","GH19F002175","chr19",2175917,2177291,0.71,0.36
"42","LENG8","GH19F054448","chr19",54447343,54447492,0.46,0.76
"43","POLRMT","GH19F000523","chr19",523895,525958,0.84,11.45
"44","FGF22","GH19F000523","chr19",523895,525958,0.84,11.44
"45","MADCAM1","GH19F000523","chr19",523895,525958,0.84,5.73
"46","CDC34","GH19F000523","chr19",523895,525958,0.84,0.4
"47","C19orf33","GH19F038279","chr19",38279941,38281355,0.25,59.08
"48","SPINT2","GH19F038279","chr19",38279941,38281355,0.25,19.16
"49","PPP1R14A","GH19F038279","chr19",38279941,38281355,0.25,12.29
"50","YIF1B","GH19F038279","chr19",38279941,38281355,0.25,11.73
"51","KCNK6","GH19F038279","chr19",38279941,38281355,0.25,11.73
"52","CATSPERG","GH19F038279","chr19",38279941,38281355,0.25,11.41
"53","GRIK5","GH19F042183","chr19",42183802,42186199,0.63,12.91
"54","ZNF526","GH19F042183","chr19",42183802,42186199,0.63,11.43
"55","DEDD2","GH19F042183","chr19",42183802,42186199,0.63,11.43
"56","LIPE","GH19F042183","chr19",42183802,42186199,0.63,10.01
"57","POU2F2","GH19F042183","chr19",42183802,42186199,0.63,0.36
"58","CYP2S1","GH19F041206","chr19",41206352,41207978,0.84,0.36
"59","AXL","GH19F041206","chr19",41206352,41207978,0.84,0.36
"60","SMARCA4","GH19F010964","chr19",10964565,10965749,0.65,9.54
"61","ARHGEF18","GH19F007205","chr19",7205967,7216416,0.63,10.99
"62","INSR","GH19F007205","chr19",7205967,7216416,0.63,6.88
"63","SH2D3A","GH19F007205","chr19",7205967,7216416,0.63,5.57
"64","ADGRE1","GH19F007205","chr19",7205967,7216416,0.63,5.33
"65","TRIP10","GH19F007205","chr19",7205967,7216416,0.63,4.82
"66","IL11","GH19F055347","chr19",55347859,55349632,0.38,12.07
