"","chr","start","end","TargetGene","activity","hic_contact","ABC_Score","CellType"
"59820","chr21",14533289,14535159,"HSPA13",13.2321,9.2671,0.0366,"GM12878"
"59821","chr21",14383809,14384309,"HSPA13",3.2423,100,0.0969,"GM12878"
"59822","chr21",14686409,14687702,"HSPA13",17.6261,9.8329,0.0518,"GM12878"
"59823","chr21",14453910,14455083,"HSPA13",13.6851,8.91,0.0364,"GM12878"
"59824","chr21",14382938,14383507,"HSPA13",12.0172,100,0.3591,"GM12878"
"59825","chr21",14762614,14764045,"HSPA13",12.7733,7.7849,0.0297,"GM12878"
"59826","chr21",14452748,14453788,"HSPA13",16.5088,8.9074,0.0439,"GM12878"
"59827","chr21",14541664,14542479,"SAMSN1",3.2668,100,0.0873,"GM12878"
"59828","chr21",14533289,14535159,"SAMSN1",13.2321,40.6119,0.1436,"GM12878"
"59829","chr21",14686409,14687702,"SAMSN1",17.6261,14.4517,0.0681,"GM12878"
"59830","chr21",14453910,14455083,"SAMSN1",13.6851,10.176,0.0372,"GM12878"
"59831","chr21",14547744,14548575,"SAMSN1",2.9665,66.3158,0.0526,"GM12878"
"59832","chr21",14762614,14764045,"SAMSN1",12.7733,10.1897,0.0348,"GM12878"
"59833","chr21",14548636,14549136,"SAMSN1",1.1787,66.444,0.0209,"GM12878"
"59834","chr21",14452748,14453788,"SAMSN1",16.5088,10.1783,0.0449,"GM12878"
"59835","chr21",14546096,14546610,"SAMSN1",4.2706,100,0.1141,"GM12878"
"59836","chr21",14557153,14557851,"SAMSN1",2.414,37.2329,0.024,"GM12878"
"59837","chr21",14542652,14543152,"SAMSN1",1.4555,100,0.0389,"GM12878"
"59838","chr21",14533289,14535159,"NRIP1",13.2321,6.4951,0.0233,"GM12878"
"59839","chr21",14686409,14687702,"NRIP1",17.6261,8.7702,0.042,"GM12878"
"59840","chr21",15058790,15059290,"NRIP1",1.7251,99.2203,0.0465,"GM12878"
"59841","chr21",14453910,14455083,"NRIP1",13.6851,10.1596,0.0378,"GM12878"
"59842","chr21",15057383,15057883,"NRIP1",1.6308,63.6059,0.0282,"GM12878"
"59843","chr21",14382938,14383507,"NRIP1",12.0172,12.4688,0.0407,"GM12878"
"59844","chr21",14762614,14764045,"NRIP1",12.7733,10.5914,0.0367,"GM12878"
"59845","chr21",15062501,15063001,"NRIP1",1.404,100,0.0381,"GM12878"
"59846","chr21",15064555,15065343,"NRIP1",3.1563,100,0.0857,"GM12878"
"59847","chr21",14452748,14453788,"NRIP1",16.5088,10.16,0.0455,"GM12878"
"59848","chr21",15065887,15066552,"NRIP1",1.4548,100,0.0395,"GM12878"
"59849","chr21",15051707,15052773,"NRIP1",4.9696,46.1683,0.0623,"GM12878"
"59850","chr21",15061938,15062438,"NRIP1",1.313,98.5682,0.0351,"GM12878"
"59851","chr21",15063253,15063753,"NRIP1",1.647,100,0.0447,"GM12878"
"59852","chr21",15060588,15061088,"NRIP1",1.3606,98.8753,0.0365,"GM12878"
"59853","chr21",14686409,14687702,"USP25",17.6261,2.0026,0.0236,"GM12878"
"59854","chr21",14453910,14455083,"USP25",13.6851,2.3107,0.0211,"GM12878"
"59855","chr21",14382938,14383507,"USP25",12.0172,4.9899,0.04,"GM12878"
"59856","chr21",15729577,15730274,"USP25",2.8126,100,0.1878,"GM12878"
"59857","chr21",15732762,15733262,"USP25",1.6556,62.2003,0.0688,"GM12878"
"59858","chr21",14452748,14453788,"USP25",16.5088,2.3104,0.0255,"GM12878"
"59859","chr21",15732259,15732759,"USP25",2.5821,100,0.1724,"GM12878"
"59860","chr21",15733672,15734172,"USP25",1.4678,62.328,0.0611,"GM12878"
"59861","chr21",17819136,17820323,"BTG3",16.9239,8.4298,0.0832,"GM12878"
"59862","chr21",17783705,17784583,"BTG3",13.3873,8.9452,0.0698,"GM12878"
"59863","chr21",17784607,17785492,"BTG3",17.3941,8.946,0.0907,"GM12878"
"59864","chr21",17598373,17599047,"BTG3",1.3081,30.882,0.0236,"GM12878"
"59865","chr21",17780343,17781227,"BTG3",8.5012,9.2908,0.0461,"GM12878"
"59866","chr21",17607459,17607959,"BTG3",1.377,56.8395,0.0456,"GM12878"
"59867","chr21",17611069,17611926,"BTG3",5.87,56.3429,0.1929,"GM12878"
"59868","chr21",17612699,17613200,"BTG3",2.371,100,0.1383,"GM12878"
"59869","chr21",17818115,17818981,"BTG3",4.2967,8.4289,0.0211,"GM12878"
"59870","chr21",17819136,17820323,"C21orf91",16.9239,100,0.3767,"GM12878"
"59871","chr21",17783705,17784583,"C21orf91",13.3873,28.3712,0.0845,"GM12878"
"59872","chr21",17789080,17790160,"C21orf91",4.5553,34.5554,0.035,"GM12878"
"59873","chr21",17784607,17785492,"C21orf91",17.3941,28.3591,0.1098,"GM12878"
"59874","chr21",17780343,17781227,"C21orf91",8.5012,25.5186,0.0483,"GM12878"
"59875","chr21",17818115,17818981,"C21orf91",4.2967,100,0.0956,"GM12878"
"59876","chr21",25424025,25424525,"LINC00158",5.6461,47.5654,0.0341,"GM12878"
"59877","chr21",25427621,25428239,"LINC00158",4.53,100,0.0575,"GM12878"
"59878","chr21",25561342,25562807,"LINC00158",28.1257,16.96,0.0606,"GM12878"
"59879","chr21",25456430,25457834,"LINC00158",23.8486,37.293,0.113,"GM12878"
"59880","chr21",25424574,25425074,"LINC00158",6.0446,47.5246,0.0365,"GM12878"
"59881","chr21",25501426,25502707,"LINC00158",16.6703,16.1984,0.0343,"GM12878"
"59882","chr21",25428498,25428998,"LINC00158",4.5387,100,0.0576,"GM12878"
"59883","chr21",25422594,25423094,"LINC00158",4.8948,47.6639,0.0296,"GM12878"
"59884","chr21",25425224,25425724,"LINC00158",5.238,47.4739,0.0316,"GM12878"
"59885","chr21",25487015,25487713,"LINC00158",10.6053,16.6176,0.0224,"GM12878"
"59886","chr21",25462438,25463134,"LINC00158",11.0965,20.1547,0.0284,"GM12878"
"59887","chr21",25563405,25563905,"LINC00158",11.4724,17.9024,0.0261,"GM12878"
"59888","chr21",25420802,25422136,"LINC00158",24.8363,24.7945,0.0782,"GM12878"
"59889","chr21",25561342,25562807,"MIR155HG",28.1257,100,0.2036,"GM12878"
"59890","chr21",25565185,25565685,"MIR155HG",4.3974,100,0.0318,"GM12878"
"59891","chr21",25565812,25566312,"MIR155HG",4.6415,100,0.0336,"GM12878"
"59892","chr21",25462438,25463134,"MIR155HG",11.0965,31.1739,0.025,"GM12878"
"59893","chr21",25456430,25457834,"MIR155HG",23.8486,26.2535,0.0453,"GM12878"
"59894","chr21",25501426,25502707,"MIR155HG",16.6703,33.0855,0.0399,"GM12878"
"59895","chr21",25567443,25567943,"MIR155HG",5.957,50.9801,0.022,"GM12878"
"59896","chr21",25563405,25563905,"MIR155HG",11.4724,100,0.083,"GM12878"
"59897","chr21",25420802,25422136,"MIR155HG",24.8363,32.6607,0.0587,"GM12878"
"59898","chr21",25561342,25562807,"MRPL39",28.1257,11.3415,0.0536,"GM12878"
"59899","chr21",25577288,25578940,"MRPL39",7.1787,21.9614,0.0265,"GM12878"
