"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","EFCC1","GH03F128973","chr3",128973601,128974600,0.77,0.29
"2","ARIH2","GH03F049068","chr3",49068516,49068647,1.03,12.34
"3","QRICH1","GH03F049068","chr3",49068516,49068647,1.03,12.04
"4","USP19","GH03F049068","chr3",49068516,49068647,1.03,11.42
"5","LAMB2","GH03F049068","chr3",49068516,49068647,1.03,11.39
"6","P4HTM","GH03F049068","chr3",49068516,49068647,1.03,11.19
"7","APOD","GH03F195560","chr3",195560591,195560740,0.25,12.31
"8","MUC4","GH03F195560","chr3",195560591,195560740,0.25,10.6
"9","CNTN4","GH03F003031","chr3",3031146,3031974,0.65,5.42
"10","DENND6A","GH03F057809","chr3",57809001,57810200,0.46,10.98
"11","SLMAP","GH03F057809","chr3",57809001,57810200,0.46,5.88
"12","ARF4","GH03F057809","chr3",57809001,57810200,0.46,4.9
"13","CEP19","GH03F196710","chr3",196710751,196713700,0.25,25.59
"14","GPR160","GH03F170189","chr3",170189002,170189999,0.5,18.5
"15","PHC3","GH03F170189","chr3",170189002,170189999,0.5,0.4
"16","PRKCI","GH03F170189","chr3",170189002,170189999,0.5,0.27
"17","CAPN7","GH03F015118","chr3",15118590,15119200,0.25,13.66
"18","RBSN","GH03F015118","chr3",15118590,15119200,0.25,0.34
"19","PTX3","GH03F157281","chr3",157281863,157284124,1.18,0.1
"20","FSTL1","GH03F120459","chr3",120459334,120459483,0.65,0.4
"21","CRYBG3","GH03F097820","chr3",97820922,97824037,0.67,0.76
"22","ANAPC13","GH03F134423","chr3",134423200,134423401,1.01,12.75
"23","ITIH4","GH03F052982","chr3",52982802,52985399,0.5,30.61
"24","MUSTN1","GH03F052982","chr3",52982802,52985399,0.5,9.54
"25","CRBN","GH03F003209","chr3",3209164,3210693,0.38,11.14
"26","TRNT1","GH03F003209","chr3",3209164,3210693,0.38,4.87
"27","EIF1B","GH03F040302","chr3",40302801,40303200,0.38,0.4
"28","CACNA1D","GH03F053524","chr3",53524071,53525147,0.25,11.42
"29","RARRES1","GH03F158742","chr3",158742852,158743001,0.56,0.36
"30","PLD1","GH03F171373","chr3",171373289,171378199,0.88,9.32
"31","TNIK","GH03F171373","chr3",171373289,171378199,0.88,4.74
"32","HACD2","GH03F123600","chr3",123600546,123603123,1.21,7.53
