"","chr","start","end","TargetGene","activity","hic_contact","ABC_Score","CellType"
"57238","chr20",290055,291028,"C20orf96",9.2108,100,0.2269,"GM12878"
"57239","chr20",298049,298971,"C20orf96",9.4937,90.2415,0.2111,"GM12878"
"57240","chr20",407054,408556,"C20orf96",12.0785,8.8525,0.0263,"GM12878"
"57241","chr20",326622,327586,"C20orf96",5.7589,27.451,0.0389,"GM12878"
"57242","chr20",324173,325820,"C20orf96",14.7462,27.424,0.0996,"GM12878"
"57243","chr20",309499,310845,"C20orf96",3.4915,30.691,0.0264,"GM12878"
"57244","chr20",297226,297812,"C20orf96",5.4238,90.1018,0.1204,"GM12878"
"57245","chr20",290055,291028,"ZCCHC3",9.2108,100,0.201,"GM12878"
"57246","chr20",298049,298971,"ZCCHC3",9.4937,100,0.2072,"GM12878"
"57247","chr20",407054,408556,"ZCCHC3",12.0785,8.7046,0.0229,"GM12878"
"57248","chr20",326622,327586,"ZCCHC3",5.7589,32.3051,0.0406,"GM12878"
"57249","chr20",324173,325820,"ZCCHC3",14.7462,32.2667,0.1038,"GM12878"
"57250","chr20",309499,310845,"ZCCHC3",3.4915,46.0105,0.0351,"GM12878"
"57251","chr20",543371,544230,"ZCCHC3",19.1986,5.5287,0.0232,"GM12878"
"57252","chr20",297226,297812,"ZCCHC3",5.4238,100,0.1184,"GM12878"
"57253","chr20",290055,291028,"NRSN2-AS1",9.2108,35.4616,0.0663,"GM12878"
"57254","chr20",298049,298971,"NRSN2-AS1",9.4937,36.853,0.071,"GM12878"
"57255","chr20",347556,348056,"NRSN2-AS1",5.5743,35.2938,0.04,"GM12878"
"57256","chr20",407054,408556,"NRSN2-AS1",12.0785,11.9362,0.0293,"GM12878"
"57257","chr20",326622,327586,"NRSN2-AS1",5.7589,100,0.1169,"GM12878"
"57258","chr20",324173,325820,"NRSN2-AS1",14.7462,100,0.2994,"GM12878"
"57259","chr20",309499,310845,"NRSN2-AS1",3.4915,49.144,0.0348,"GM12878"
"57260","chr20",543371,544230,"NRSN2-AS1",19.1986,6.3771,0.0249,"GM12878"
"57261","chr20",330373,331151,"NRSN2-AS1",1.0786,100,0.0219,"GM12878"
"57262","chr20",348148,348908,"NRSN2-AS1",3.2608,35.3111,0.0234,"GM12878"
"57263","chr20",297226,297812,"NRSN2-AS1",5.4238,36.8745,0.0406,"GM12878"
"57264","chr20",290055,291028,"SOX12",9.2108,35.467,0.0663,"GM12878"
"57265","chr20",298049,298971,"SOX12",9.4937,36.86,0.0711,"GM12878"
"57266","chr20",347556,348056,"SOX12",5.5743,35.286,0.0399,"GM12878"
"57267","chr20",407054,408556,"SOX12",12.0785,11.9354,0.0293,"GM12878"
"57268","chr20",326622,327586,"SOX12",5.7589,100,0.1169,"GM12878"
"57269","chr20",324173,325820,"SOX12",14.7462,100,0.2994,"GM12878"
"57270","chr20",309499,310845,"SOX12",3.4915,49.1586,0.0349,"GM12878"
"57271","chr20",543371,544230,"SOX12",19.1986,6.3769,0.0249,"GM12878"
"57272","chr20",330373,331151,"SOX12",1.0786,100,0.0219,"GM12878"
"57273","chr20",348148,348908,"SOX12",3.2608,35.3035,0.0234,"GM12878"
"57274","chr20",297226,297812,"SOX12",5.4238,36.8813,0.0406,"GM12878"
"57275","chr20",290055,291028,"NRSN2",9.2108,13.6653,0.0328,"GM12878"
"57276","chr20",433403,434093,"NRSN2",8.8641,14.4341,0.0333,"GM12878"
"57277","chr20",298049,298971,"NRSN2",9.4937,18.1859,0.045,"GM12878"
"57278","chr20",347556,348056,"NRSN2",5.5743,100,0.1453,"GM12878"
"57279","chr20",380534,381544,"NRSN2",4.571,20.6848,0.0246,"GM12878"
"57280","chr20",346475,346975,"NRSN2",1.8233,100,0.0475,"GM12878"
"57281","chr20",407054,408556,"NRSN2",12.0785,15.0921,0.0475,"GM12878"
"57282","chr20",408815,409315,"NRSN2",5.1922,15.0974,0.0204,"GM12878"
