"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","CLIC4","GH01F024751","chr1",24751810,24752253,0.25,10.14
"2","JUN","GH01F058873","chr1",58873108,58876671,0.81,10.18
"3","RERE","GH01F008390","chr1",8390760,8391012,0.57,3.3
"4","TRIT1","GH01F039942","chr1",39942970,39944812,1.15,16.09
"5","MYCL","GH01F039942","chr1",39942970,39944812,1.15,11.79
"6","CAP1","GH01F039942","chr1",39942970,39944812,1.15,11.34
"7","MFSD2A","GH01F039942","chr1",39942970,39944812,1.15,4.71
"8","TMEM63A","GH01F225815","chr1",225815601,225819000,0.71,11.7
"9","PYCR2","GH01F225815","chr1",225815601,225819000,0.71,11.67
"10","LEFTY2","GH01F225815","chr1",225815601,225819000,0.71,11.65
"11","LEFTY1","GH01F225815","chr1",225815601,225819000,0.71,10.94
"12","EPHX1","GH01F225815","chr1",225815601,225819000,0.71,8.52
"13","ITPKB","GH01F225815","chr1",225815601,225819000,0.71,4.87
"14","B4GALT3","GH01F161113","chr1",161113988,161122541,1.08,10.08
"15","NIT1","GH01F161113","chr1",161113988,161122541,1.08,10.01
"16","F11R","GH01F161113","chr1",161113988,161122541,1.08,8.69
"17","HSPA6","GH01F161113","chr1",161113988,161122541,1.08,5.78
"18","PTGFR","GH01F078278","chr1",78278577,78280050,0.25,13.6
"19","USP1","GH01F062295","chr1",62295489,62296762,0.5,11.02
"20","TM2D1","GH01F062295","chr1",62295489,62296762,0.5,5.38
"21","L1TD1","GH01F062295","chr1",62295489,62296762,0.5,4.86
"22","KIF1B","GH01F010201","chr1",10201337,10201508,0.51,1.85
"23","BNIPL","GH01F151054","chr1",151054067,151063940,0.67,24.34
"24","SETDB1","GH01F151054","chr1",151054067,151063940,0.67,14.76
"25","GABPB2","GH01F151054","chr1",151054067,151063940,0.67,13.74
"26","PRPF3","GH01F151054","chr1",151054067,151063940,0.67,10.35
"27","MRPL9","GH01F151054","chr1",151054067,151063940,0.67,10.3
"28","CTSK","GH01F151054","chr1",151054067,151063940,0.67,10.24
"29","PSMD4","GH01F151054","chr1",151054067,151063940,0.67,5.6
