"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","CDK13","GH07F040052","chr7",40052102,40052937,0.46,12.18
"2","RNF133","GH07F122685","chr7",122685987,122686840,0.52,0.36
"3","PTPN12","GH07F077535","chr7",77535816,77541187,1.09,17.08
"4","TMEM60","GH07F077791","chr7",77791801,77792000,0.52,0.4
"5","ATP6V0E2","GH07F149863","chr7",149863866,149871930,1.06,34.02
"6","ZNF862","GH07F149863","chr7",149863866,149871930,1.06,12.38
"7","TNRC18","GH07F005354","chr7",5354090,5355864,0.5,12.27
"8","WIPI2","GH07F005354","chr7",5354090,5355864,0.5,10.7
"9","EIF2AK1","GH07F005354","chr7",5354090,5355864,0.5,4.96
"10","NXPH1","GH07F008389","chr7",8389491,8390600,0.81,10.57
"11","GATAD1","GH07F092584","chr7",92584597,92585603,0.94,8.29
"12","FAM133B","GH07F092584","chr7",92584597,92585603,0.94,0.4
"13","TNS3","GH07F047603","chr7",47603411,47607105,1.09,12.2
"14","CHRM2","GH07F137025","chr7",137025054,137027195,0.25,9.26
"15","PKD1L1","GH07F047937","chr7",47937204,47937800,0.81,13.69
"16","HUS1","GH07F047937","chr7",47937204,47937800,0.81,5.67
"17","UPP1","GH07F047937","chr7",47937204,47937800,0.81,4.79
"18","FAM71F2","GH07F128897","chr7",128897146,128897229,0.87,22.84
"19","FAM71F1","GH07F128897","chr7",128897146,128897229,0.87,20.78
"20","ATP6V1F","GH07F128897","chr7",128897146,128897229,0.87,12.46
"21","FLNC","GH07F128897","chr7",128897146,128897229,0.87,10.89
"22","TSPAN33","GH07F128897","chr7",128897146,128897229,0.87,10.44
"23","OPN1SW","GH07F128897","chr7",128897146,128897229,0.87,10.08
"24","AHCYL2","GH07F128897","chr7",128897146,128897229,0.87,9.74
"25","KCP","GH07F128897","chr7",128897146,128897229,0.87,0.36
"26","CDK6","GH07F092611","chr7",92611703,92616180,0.87,12.07
