"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","IL2","GH04F122150","chr4",122150129,122153877,0.98,6.28
"2","KIAA1109","GH04F122150","chr4",122150129,122153877,0.98,6.21
"3","IL21","GH04F122150","chr4",122150129,122153877,0.98,1.13
"4","PCGF3","GH04F000765","chr4",765522,767593,0.46,37.64
"5","PPBP","GH04F073843","chr4",73843202,73845206,0.92,10.04
"6","MTHFD2L","GH04F073843","chr4",73843202,73845206,0.92,9.74
"7","CXCL8","GH04F073843","chr4",73843202,73845206,0.92,9.71
"8","PF4V1","GH04F073843","chr4",73843202,73845206,0.92,7.28
"9","CXCL6","GH04F073843","chr4",73843202,73845206,0.92,0.4
"10","UGT2B11","GH04F068747","chr4",68747445,68749870,0.67,7.98
"11","UGT2B7","GH04F068747","chr4",68747445,68749870,0.67,7.94
"12","ERVMER34-1","GH04F052925","chr4",52925422,52926886,0.52,9.97
"13","USP46","GH04F052925","chr4",52925422,52926886,0.52,9.07
"14","NSG1","GH04F004502","chr4",4502601,4503600,0.9,18.88
"15","DDX60L","GH04F168537","chr4",168537601,168538000,0.78,0.76
"16","FGF2","GH04F122825","chr4",122825628,122829377,1.02,10.67
"17","NPNT","GH04F105851","chr4",105851284,105851433,0.38,0.24
"18","SH3BP2","GH04F002768","chr4",2768601,2769200,0.25,4.78
"19","RAB28","GH04F013481","chr4",13481439,13481774,0.49,0.76
"20","MND1","GH04F153438","chr4",153438118,153440600,1.04,12.72
"21","SPP1","GH04F087949","chr4",87949767,87951161,0.94,10.81
"22","MEPE","GH04F087949","chr4",87949767,87951161,0.94,4.63
"23","CYP4V2","GH04F186203","chr4",186203142,186206315,0.59,27.25
"24","KLKB1","GH04F186203","chr4",186203142,186206315,0.59,5.66
"25","INPP4B","GH04F142844","chr4",142844601,142844800,0.46,0.76
"26","C1QTNF7","GH04F015250","chr4",15250057,15250206,0.25,0.16
"27","DAPP1","GH04F099841","chr4",99841284,99841580,0.47,32.49
"28","TRMT10A","GH04F099841","chr4",99841284,99841580,0.47,11.74
"29","MTTP","GH04F099841","chr4",99841284,99841580,0.47,10.34
"30","LAMTOR3","GH04F099841","chr4",99841284,99841580,0.47,2.62
"31","RAP1GDS1","GH04F098429","chr4",98429636,98432379,0.63,15.66
"32","CAMK2D","GH04F113676","chr4",113676201,113677929,0.84,11.99
"33","CLCN3","GH04F169618","chr4",169618104,169618755,0.65,0.4
"34","EMCN","GH04F101102","chr4",101102202,101105199,1.16,0.07
"35","RPS3A","GH04F151029","chr4",151029643,151030413,0.86,11.93
"36","UGT2B7","GH04F069095","chr4",69095046,69098877,0.77,13.69
"37","UGT2B28","GH04F069095","chr4",69095046,69098877,0.77,12.66
"38","UGT2A3","GH04F069095","chr4",69095046,69098877,0.77,5.29
"39","RGS12","GH04F003126","chr4",3126043,3126055,0.28,12.82
"40","HTT","GH04F003126","chr4",3126043,3126055,0.28,10.81
"41","SH3BP2","GH04F003126","chr4",3126043,3126055,0.28,2.61
"42","BMP3","GH04F081030","chr4",81030054,81032076,0.52,0.76
"43","ADGRL3","GH04F060682","chr4",60682226,60684704,1.25,15.6
"44","RBM47","GH04F040558","chr4",40558602,40566749,1.36,17.26
"45","CHRNA9","GH04F040558","chr4",40558602,40566749,1.36,10.79
"46","SLC25A4","GH04F185115","chr4",185115769,185116485,1.17,12.3
"47","HELT","GH04F185115","chr4",185115769,185116485,1.17,11.27
"48","ALB","GH04F073388","chr4",73388443,73389735,0.94,0.4
"49","ADAMTS3","GH04F072418","chr4",72418600,72418801,0.59,0.1
"50","PRDM5","GH04F120741","chr4",120741401,120742052,1.04,7.33
"51","DDIT4L","GH04F100190","chr4",100190804,100190953,0.38,0.76
"52","UGT2B28","GH04F069239","chr4",69239331,69240995,0.46,5.97
"53","UGT2B11","GH04F069239","chr4",69239331,69240995,0.46,0.31
"54","OCIAD1","GH04F048904","chr4",48904900,48907400,0.67,9.55
"55","OCIAD2","GH04F048904","chr4",48904900,48907400,0.67,0.76
"56","TBC1D1","GH04F038001","chr4",38001123,38001672,0.25,18.55
"57","PGM2","GH04F038001","chr4",38001123,38001672,0.25,10.87
"58","CCDC158","GH04F076388","chr4",76388588,76388737,0.25,12.63
"59","SHROOM3","GH04F076388","chr4",76388588,76388737,0.25,10.4
"60","STBD1","GH04F076388","chr4",76388588,76388737,0.25,7.01
"61","MND1","GH04F153344","chr4",153344010,153346360,0.76,0.76
"62","MSMO1","GH04F165299","chr4",165299337,165300000,0.52,0.29
"63","ADGRA3","GH04F022508","chr4",22508201,22508400,0.46,0.4
"64","HNRNPDL","GH04F082362","chr4",82362601,82363200,0.38,11.68
"65","ENOPH1","GH04F082362","chr4",82362601,82363200,0.38,11.68
"66","LIMCH1","GH04F041432","chr4",41432068,41434400,1.19,11.47
"67","SOWAHB","GH04F076821","chr4",76821080,76822566,0.65,10.29
"68","TLR6","GH04F038888","chr4",38888640,38891906,1.15,31.06
"69","TLR1","GH04F038888","chr4",38888640,38891906,1.15,21.93
"70","FAM114A1","GH04F038888","chr4",38888640,38891906,1.15,11.26
"71","SOWAHB","GH04F076996","chr4",76996946,76999312,0.38,14.9
"72","TBC1D14","GH04F006953","chr4",6953630,6958802,0.99,22.5
"73","GRPEL1","GH04F006953","chr4",6953630,6958802,0.99,19.19
"74","MAML3","GH04F140158","chr4",140158001,140159000,1.07,0.76
"75","SCOC","GH04F140158","chr4",140158001,140159000,1.07,0.14
"76","ZGRF1","GH04F112552","chr4",112552263,112553459,0.25,6.17
"77","ADD1","GH04F002702","chr4",2702289,2703363,0.56,10.85
"78","RNF4","GH04F002702","chr4",2702289,2703363,0.56,7.28
"79","ZFYVE28","GH04F002702","chr4",2702289,2703363,0.56,4.97
"80","MYOZ2","GH04F119134","chr4",119134810,119138533,0.81,0.76
"81","FHDC1","GH04F152894","chr4",152894749,152895001,0.77,0.34
"82","CORIN","GH04F047744","chr4",47744202,47744599,0.52,4.54
"83","ARL9","GH04F056286","chr4",56286729,56286789,0.48,2.11
"84","BMP2K","GH04F078637","chr4",78637542,78639902,1.39,7.48
"85","CXCL9","GH04F075916","chr4",75916200,75916640,0.92,9.99
"86","ART3","GH04F075916","chr4",75916200,75916640,0.92,9.99
"87","PPEF2","GH04F075916","chr4",75916200,75916640,0.92,0.36
"88","KCNIP4","GH04F021887","chr4",21887401,21889033,1.09,11.23
"89","ZNF721","GH04F000335","chr4",335962,339107,0.25,14.41
"90","ZNF141","GH04F000335","chr4",335962,339107,0.25,0.76
"91","RAPGEF2","GH04F159271","chr4",159271401,159275200,0.89,2.08
"92","MANBA","GH04F102757","chr4",102757481,102758533,0.56,24.13
