"","chr","start","end","TargetGene","activity","hic_contact","ABC_Score","CellType"
"31986","chr16",53382,54078,"POLR3K",8.6389,100,0.2641,"GM12878"
"31987","chr16",38598,39291,"POLR3K",5.2266,51.7188,0.0826,"GM12878"
"31988","chr16",77919,78450,"POLR3K",4.3794,29.7988,0.0399,"GM12878"
"31989","chr16",52745,53245,"POLR3K",3.3113,100,0.1012,"GM12878"
"31990","chr16",84692,85192,"POLR3K",4.7328,25.9768,0.0376,"GM12878"
"31991","chr16",34951,35451,"POLR3K",1.8131,51.8901,0.0288,"GM12878"
"31992","chr16",234880,235724,"POLR3K",9.4231,7.1981,0.0207,"GM12878"
"31993","chr16",77336,77836,"POLR3K",2.8649,29.7873,0.0261,"GM12878"
"31994","chr16",53382,54078,"SNRNP25",8.6389,100,0.2641,"GM12878"
"31995","chr16",38598,39291,"SNRNP25",5.2266,51.7286,0.0827,"GM12878"
"31996","chr16",77919,78450,"SNRNP25",4.3794,29.795,0.0399,"GM12878"
"31997","chr16",52745,53245,"SNRNP25",3.3113,100,0.1012,"GM12878"
"31998","chr16",84692,85192,"SNRNP25",4.7328,25.9741,0.0376,"GM12878"
"31999","chr16",34951,35451,"SNRNP25",1.8131,51.8983,0.0288,"GM12878"
"32000","chr16",234880,235724,"SNRNP25",9.4231,7.198,0.0207,"GM12878"
"32001","chr16",77336,77836,"SNRNP25",2.8649,29.7834,0.0261,"GM12878"
"32002","chr16",53382,54078,"MPG",8.6389,20.0349,0.0644,"GM12878"
"32003","chr16",38598,39291,"MPG",5.2266,13.4837,0.0262,"GM12878"
"32004","chr16",77919,78450,"MPG",4.3794,100,0.1631,"GM12878"
"32005","chr16",52745,53245,"MPG",3.3113,20.0441,0.0247,"GM12878"
"32006","chr16",76579,77079,"MPG",1.1832,100,0.0441,"GM12878"
"32007","chr16",84692,85192,"MPG",4.7328,100,0.1762,"GM12878"
"32008","chr16",77336,77836,"MPG",2.8649,100,0.1067,"GM12878"
"32009","chr16",53382,54078,"NPRL3",8.6389,11.0562,0.0409,"GM12878"
"32010","chr16",38598,39291,"NPRL3",5.2266,10.1168,0.0227,"GM12878"
"32011","chr16",130610,131110,"NPRL3",0.7577,83.545,0.0271,"GM12878"
"32012","chr16",234295,234871,"NPRL3",6.8404,12.7602,0.0374,"GM12878"
