"","chr","start","end","TargetGene","activity","hic_contact","ABC_Score","CellType"
"90236","chr9",297394,297894,"DOCK8",5.5348,21.8724,0.0665,"GM12878"
"90237","chr9",1937984,1940452,"DOCK8",34.0966,1.3492,0.0253,"GM12878"
"90238","chr9",272138,272638,"DOCK8",1.4692,100,0.0807,"GM12878"
"90239","chr9",279557,280057,"DOCK8",1.0563,79.2412,0.046,"GM12878"
"90240","chr9",281607,282517,"DOCK8",2.2133,43.7116,0.0531,"GM12878"
"90241","chr9",278557,279057,"DOCK8",0.8369,79.1072,0.0364,"GM12878"
"90242","chr9",214594,216143,"DOCK8",3.0612,25.0254,0.0421,"GM12878"
"90243","chr9",272654,273297,"DOCK8",7.6834,100,0.422,"GM12878"
"90244","chr9",297394,297894,"KANK1",5.5348,5.2718,0.0398,"GM12878"
"90245","chr9",1937984,1940452,"KANK1",34.0966,0.6524,0.0303,"GM12878"
"90246","chr9",503567,504067,"KANK1",0.2915,100,0.0398,"GM12878"
"90247","chr9",469656,470702,"KANK1",7.7499,24.0189,0.254,"GM12878"
"90248","chr9",1875148,1876476,"KANK1",26.6065,0.8004,0.0291,"GM12878"
"90249","chr9",468869,469369,"KANK1",1.5865,18.0038,0.039,"GM12878"
"90250","chr9",272654,273297,"KANK1",7.6834,2.342,0.0246,"GM12878"
"90251","chr9",504201,504944,"KANK1",0.2848,100,0.0389,"GM12878"
"90252","chr9",1937984,1940452,"LINC01230",34.0966,1.3329,0.0604,"GM12878"
"90253","chr9",893826,894326,"LINC01230",2.7839,6.5842,0.0243,"GM12878"
"90254","chr9",2012061,2012764,"LINC01230",8.3351,2.1575,0.0239,"GM12878"
"90255","chr9",1047825,1048392,"LINC01230",0.5678,100,0.0754,"GM12878"
"90256","chr9",1050103,1050603,"LINC01230",0.2158,100,0.0287,"GM12878"
"90257","chr9",1875148,1876476,"LINC01230",26.6065,1.1793,0.0417,"GM12878"
"90258","chr9",858842,859704,"LINC01230",2.6453,5.7165,0.0201,"GM12878"
"90259","chr9",1880177,1880868,"LINC01230",12.1708,1.6052,0.026,"GM12878"
"90260","chr9",1937984,1940452,"DMRT2",34.0966,1.3328,0.0603,"GM12878"
"90261","chr9",893826,894326,"DMRT2",2.7839,6.5858,0.0243,"GM12878"
"90262","chr9",2012061,2012764,"DMRT2",8.3351,2.1574,0.0239,"GM12878"
"90263","chr9",1047825,1048392,"DMRT2",0.5678,100,0.0754,"GM12878"
"90264","chr9",1050103,1050603,"DMRT2",0.2158,100,0.0287,"GM12878"
"90265","chr9",1875148,1876476,"DMRT2",26.6065,1.1793,0.0417,"GM12878"
"90266","chr9",858842,859704,"DMRT2",2.6453,5.7176,0.0201,"GM12878"
"90267","chr9",1880177,1880868,"DMRT2",12.1708,1.6052,0.0259,"GM12878"
"90268","chr9",2019119,2019619,"SMARCA2",1.5621,100,0.0249,"GM12878"
"90269","chr9",2014968,2015522,"SMARCA2",7.1298,100,0.1135,"GM12878"
"90270","chr9",1937984,1940452,"SMARCA2",34.0966,17.6673,0.0959,"GM12878"
"90271","chr9",2012061,2012764,"SMARCA2",8.3351,100,0.1327,"GM12878"
"90272","chr9",2017310,2017810,"SMARCA2",4.3031,100,0.0685,"GM12878"
"90273","chr9",2016546,2017046,"SMARCA2",3.812,100,0.0607,"GM12878"
"90274","chr9",2023383,2024039,"SMARCA2",1.9484,77.2202,0.0239,"GM12878"
"90275","chr9",1875148,1876476,"SMARCA2",26.6065,14.4125,0.061,"GM12878"
"90276","chr9",2053827,2054327,"SMARCA2",5.9395,27.3193,0.0258,"GM12878"
"90277","chr9",1879369,1880015,"SMARCA2",10.8272,14.4052,0.0248,"GM12878"
"90278","chr9",1880177,1880868,"SMARCA2",12.1708,12.8137,0.0248,"GM12878"
"90279","chr9",1937984,1940452,"VLDLR-AS1",34.0966,1.3121,0.0266,"GM12878"
"90280","chr9",2621192,2622023,"VLDLR-AS1",1.2625,100,0.075,"GM12878"
"90281","chr9",2157453,2158635,"VLDLR-AS1",10.108,4.2091,0.0253,"GM12878"
"90282","chr9",2843719,2844695,"VLDLR-AS1",14.5817,4.4401,0.0384,"GM12878"
"90283","chr9",2602621,2603121,"VLDLR-AS1",2.0152,25.161,0.0301,"GM12878"
"90284","chr9",2616625,2617405,"VLDLR-AS1",1.7674,61.634,0.0647,"GM12878"
"90285","chr9",1875148,1876476,"VLDLR-AS1",26.6065,2.1041,0.0332,"GM12878"
"90286","chr9",2622123,2622623,"VLDLR-AS1",0.8859,100,0.0526,"GM12878"
"90287","chr9",3525661,3527960,"VLDLR-AS1",48.7322,1.0009,0.029,"GM12878"
"90288","chr9",2623329,2623829,"VLDLR-AS1",0.744,100,0.0442,"GM12878"
"90289","chr9",1937984,1940452,"VLDLR",34.0966,1.3121,0.0266,"GM12878"
"90290","chr9",2621192,2622023,"VLDLR",1.2625,100,0.075,"GM12878"
"90291","chr9",2157453,2158635,"VLDLR",10.108,4.209,0.0253,"GM12878"
"90292","chr9",2843719,2844695,"VLDLR",14.5817,4.4403,0.0385,"GM12878"
"90293","chr9",2602621,2603121,"VLDLR",2.0152,25.1493,0.0301,"GM12878"
"90294","chr9",2616625,2617405,"VLDLR",1.7674,61.5641,0.0646,"GM12878"
"90295","chr9",1875148,1876476,"VLDLR",26.6065,2.1041,0.0332,"GM12878"
"90296","chr9",2622123,2622623,"VLDLR",0.8859,100,0.0526,"GM12878"
"90297","chr9",3525661,3527960,"VLDLR",48.7322,1.0009,0.029,"GM12878"
"90298","chr9",2623329,2623829,"VLDLR",0.744,100,0.0442,"GM12878"
"90299","chr9",1937984,1940452,"PUM3",34.0966,2.3315,0.0237,"GM12878"
"90300","chr9",2843719,2844695,"PUM3",14.5817,100,0.4348,"GM12878"
"90301","chr9",3525661,3527960,"PUM3",48.7322,3.7314,0.0542,"GM12878"
"90302","chr9",2837951,2838451,"PUM3",0.8116,99.1825,0.024,"GM12878"
"90303","chr9",3524479,3524979,"RFX3",4.4107,51.6677,0.0287,"GM12878"
"90304","chr9",3528335,3528835,"RFX3",4.4202,100,0.0556,"GM12878"
"90305","chr9",3525661,3527960,"RFX3",48.7322,100,0.613,"GM12878"
"90306","chr9",3507335,3509432,"RFX3",10.9973,23.1823,0.0321,"GM12878"
"90307","chr9",3479512,3480404,"RFX3",8.8365,23.0559,0.0256,"GM12878"
"90308","chr9",3651096,3651784,"RFX3-AS1",1.7234,32.3943,0.0352,"GM12878"
"90309","chr9",3475320,3476140,"RFX3-AS1",5.6933,9.0045,0.0323,"GM12878"
"90310","chr9",3477237,3477737,"RFX3-AS1",3.5198,9.0031,0.02,"GM12878"
"90311","chr9",3525661,3527960,"RFX3-AS1",48.7322,4.5251,0.1389,"GM12878"
"90312","chr9",3507335,3509432,"RFX3-AS1",10.9973,3.7515,0.026,"GM12878"
"90313","chr9",3479512,3480404,"RFX3-AS1",8.8365,9.001,0.0501,"GM12878"
"90314","chr9",6680780,6682394,"RFX3-AS1",46.1059,0.7664,0.0223,"GM12878"
"90315","chr9",3478379,3478879,"RFX3-AS1",5.2361,9.0021,0.0297,"GM12878"
"90316","chr9",3730134,3731332,"RFX3-AS1",4.2301,9.0892,0.0242,"GM12878"
"90317","chr9",4490100,4490676,"SLC1A1",5.0693,100,0.1161,"GM12878"
"90318","chr9",4464779,4465656,"SLC1A1",16.519,31.2495,0.1183,"GM12878"
"90319","chr9",4465837,4466485,"SLC1A1",4.1017,31.2307,0.0293,"GM12878"
"90320","chr9",4486027,4486766,"SLC1A1",2.841,100,0.0651,"GM12878"
"90321","chr9",4678702,4679802,"SLC1A1",14.818,7.1884,0.0244,"GM12878"
"90322","chr9",4497801,4498434,"SLC1A1",1.3582,68.4539,0.0213,"GM12878"
"90323","chr9",4489562,4490062,"SLC1A1",3.2076,100,0.0735,"GM12878"
"90324","chr9",4464779,4465656,"PLPP6",16.519,6.0653,0.0213,"GM12878"
