"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","POLR2M","GH15F057703","chr15",57703583,57703712,0.25,0.76
"2","THBS1","GH15F039297","chr15",39297758,39305844,1.1,27.34
"3","GOLGA8N","GH15F032589","chr15",32589001,32589353,0.96,0.76
"4","APBA2","GH15F028892","chr15",28892800,28893401,0.25,0.4
"5","HERC2","GH15F028222","chr15",28222535,28223564,0.25,29.14
"6","OCA2","GH15F028222","chr15",28222535,28223564,0.25,0.11
"7","DISP2","GH15F040377","chr15",40377642,40377989,0.79,6.03
"8","GPR176","GH15F040377","chr15",40377642,40377989,0.79,1.95
"9","PAK6","GH15F040377","chr15",40377642,40377989,0.79,1.72
"10","KNSTRN","GH15F040377","chr15",40377642,40377989,0.79,0.76
"11","ISLR","GH15F074580","chr15",74580600,74580749,0.52,13.54
"12","PTPN9","GH15F074580","chr15",74580600,74580749,0.52,10.16
"13","CLK3","GH15F074580","chr15",74580600,74580749,0.52,0.34
"14","ARID3B","GH15F074580","chr15",74580600,74580749,0.52,0.25
"15","SCAPER","GH15F076930","chr15",76930019,76932969,0.46,25.86
"16","RCN2","GH15F076930","chr15",76930019,76932969,0.46,5.39
"17","BLM","GH15F090761","chr15",90761602,90762880,1.19,10.91
"18","AKAP13","GH15F085688","chr15",85688269,85695075,0.52,5.23
"19","KLHL25","GH15F085688","chr15",85688269,85695075,0.52,4.46
"20","MAN2C1","GH15F075682","chr15",75682439,75684347,1.26,4.78
"21","CSPG4","GH15F075682","chr15",75682439,75684347,1.26,0.29
"22","PAQR5","GH15F069338","chr15",69338962,69339111,0.62,6.25
"23","SNX22","GH15F063718","chr15",63718216,63719851,0.84,10.59
"24","FBXL22","GH15F063718","chr15",63718216,63719851,0.84,10.15
"25","HERC1","GH15F063718","chr15",63718216,63719851,0.84,0.13
"26","SMAD6","GH15F066723","chr15",66723772,66724827,0.38,12.64
"27","IDH2","GH15F090126","chr15",90126189,90126338,0.46,12.45
"28","NGRN","GH15F090126","chr15",90126189,90126338,0.46,10.9
"29","MESP1","GH15F090126","chr15",90126189,90126338,0.46,10.12
"30","MTMR10","GH15F030963","chr15",30963778,30963822,0.52,11.73
"31","FAN1","GH15F030963","chr15",30963778,30963822,0.52,10.69
"32","MESP1","GH15F089983","chr15",89982745,89983076,0.85,10.17
"33","ZNF710","GH15F089983","chr15",89982745,89983076,0.85,0.34
"34","TPM1","GH15F063072","chr15",63072525,63078400,1.28,15.08
"35","APH1B","GH15F063072","chr15",63072525,63078400,1.28,9.64
"36","LACTB","GH15F063072","chr15",63072525,63078400,1.28,5.7
"37","CHSY1","GH15F101241","chr15",101241382,101241465,0.52,0.36
"38","NR2E3","GH15F071706","chr15",71706584,71709200,0.9,0.16
"39","NOX5","GH15F068834","chr15",68834001,68835000,0.63,0.14
"40","ZFYVE19","GH15F040762","chr15",40762495,40766802,0.62,32.64
"41","DNAJC17","GH15F040762","chr15",40762495,40766802,0.62,11.11
"42","EIF2AK4","GH15F040762","chr15",40762495,40766802,0.62,9.94
"43","RMDN3","GH15F040762","chr15",40762495,40766802,0.62,9.8
"44","GCHFR","GH15F040762","chr15",40762495,40766802,0.62,0.76
"45","C15orf62","GH15F040762","chr15",40762495,40766802,0.62,0.4
"46","RGMA","GH15F093456","chr15",93456943,93456949,0.41,1.86
"47","PLA2G4F","GH15F042100","chr15",42100002,42101074,0.96,11.28
"48","PLA2G4D","GH15F042100","chr15",42100002,42101074,0.96,0.4
"49","MCTP2","GH15F094271","chr15",94271384,94274133,1.16,13.11
"50","SMAD6","GH15F066758","chr15",66758809,66767650,0.63,12.32
"51","SPRED1","GH15F038263","chr15",38263620,38264941,0.38,0.36
"52","SLCO3A1","GH15F092073","chr15",92073601,92075600,0.5,11.28
"53","HIGD2B","GH15F072838","chr15",72838201,72838999,0.25,10.08
"54","BBS4","GH15F072838","chr15",72838201,72838999,0.25,10.08
"55","NEO1","GH15F072838","chr15",72838201,72838999,0.25,9.54
"56","ADPGK","GH15F072838","chr15",72838201,72838999,0.25,0.22
"57","ADAM10","GH15F058573","chr15",58573723,58575338,0.46,7.24
"58","WDR73","GH15F084910","chr15",84910697,84915999,1.31,12.19
"59","GOLGA6L4","GH15F084910","chr15",84910697,84915999,1.31,11.87
"60","SLC28A1","GH15F084910","chr15",84910697,84915999,1.31,2.32
"61","CA12","GH15F063311","chr15",63311813,63312835,0.25,11.65
"62","APH1B","GH15F063311","chr15",63311813,63312835,0.25,10.48
"63","FBXL22","GH15F063311","chr15",63311813,63312835,0.25,9.65
"64","LYSMD2","GH15F051877","chr15",51877510,51881242,0.77,38.19
