"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","GALR1","GH18F077251","chr18",77251637,77251927,0.54,7.83
"2","ZNF236","GH18F076951","chr18",76951415,76951992,0.77,5.76
"3","SLC14A1","GH18F045723","chr18",45723601,45725000,0.25,7.42
"4","RPL17","GH18F048588","chr18",48588935,48591239,1.09,10.81
"5","RAB12","GH18F008614","chr18",8614402,8616793,0.9,0.4
"6","PIEZO2","GH18F010766","chr18",10766593,10766815,0.32,9.89
"7","NEDD4L","GH18F058201","chr18",58201689,58203257,0.63,9.44
"8","CABLES1","GH18F023340","chr18",23340352,23341161,0.38,10.73
"9","NPC1","GH18F023340","chr18",23340352,23341161,0.38,6.24
"10","TMEM241","GH18F023340","chr18",23340352,23341161,0.38,0.14
"11","GALNT1","GH18F035438","chr18",35438401,35439001,0.38,10.43
"12","LDLRAD4","GH18F013285","chr18",13285001,13285400,0.25,11.45
"13","RALBP1","GH18F009506","chr18",9506523,9506672,0.62,29.97
"14","RNF165","GH18F046341","chr18",46341801,46342600,0.71,0.34
"15","CNDP1","GH18F074590","chr18",74590401,74590600,0.25,10.41
"16","ZNF407","GH18F074590","chr18",74590401,74590600,0.25,0.4
"17","SERPINB2","GH18F063878","chr18",63878068,63884085,1.22,33.33
"18","SERPINB10","GH18F063878","chr18",63878068,63884085,1.22,26.47
"19","SERPINB8","GH18F063878","chr18",63878068,63884085,1.22,13.39
"20","VPS4B","GH18F063878","chr18",63878068,63884085,1.22,2.16
"21","EMILIN2","GH18F003177","chr18",3177513,3181202,1.2,35.4
"22","TGIF1","GH18F003177","chr18",3177513,3181202,1.2,18.61
"23","MYOM1","GH18F003177","chr18",3177513,3181202,1.2,11.88
"24","MYL12B","GH18F003177","chr18",3177513,3181202,1.2,10.43
"25","LPIN2","GH18F003177","chr18",3177513,3181202,1.2,10.37
"26","DYM","GH18F049499","chr18",49499231,49499300,0.25,10.76
"27","LIPG","GH18F049499","chr18",49499231,49499300,0.25,10.47
"28","ACAA2","GH18F049499","chr18",49499231,49499300,0.25,9.69
"29","CD226","GH18F069772","chr18",69772006,69772406,0.27,2.8
"30","RTTN","GH18F069772","chr18",69772006,69772406,0.27,2.14
"31","DOK6","GH18F069772","chr18",69772006,69772406,0.27,1.92
"32","FHOD3","GH18F036402","chr18",36402176,36403310,0.63,4.69
"33","ZSCAN30","GH18F034591","chr18",34591282,34594925,0.25,4.32
"34","ZSCAN30","GH18F035249","chr18",35249710,35249817,0.28,5.13
"35","ZNF397","GH18F035249","chr18",35249710,35249817,0.28,2.68
"36","DSC2","GH18F031247","chr18",31247600,31250593,1.14,15.69
"37","DSG1","GH18F031247","chr18",31247600,31250593,1.14,0.19
"38","NEDD4L","GH18F058143","chr18",58143173,58143883,0.56,0.14
"39","RAX","GH18F059274","chr18",59274269,59274358,0.38,0.76
"40","CPLX4","GH18F059274","chr18",59274269,59274358,0.38,0.24
"41","NETO1","GH18F072871","chr18",72871226,72871375,0.62,0.76
"42","RBBP8","GH18F022977","chr18",22977261,22979286,1.08,11.9
"43","EPG5","GH18F045668","chr18",45668402,45672167,1.38,1.41
"44","CLUL1","GH18F000413","chr18",413400,413601,0.67,10.17
"45","CD226","GH18F069923","chr18",69923609,69923963,0.4,0.25
"46","DLGAP1","GH18F004106","chr18",4106743,4107656,0.94,10.62
"47","MOCOS","GH18F036107","chr18",36107601,36107800,0.38,11.09
"48","ELP2","GH18F036107","chr18",36107601,36107800,0.38,0.31
"49","MALT1","GH18F058667","chr18",58667358,58673116,0.87,15.92
"50","SERPINB13","GH18F063607","chr18",63607001,63607200,0.56,0.31
"51","SERPINB4","GH18F063607","chr18",63607001,63607200,0.56,0.25
"52","DLGAP1","GH18F003490","chr18",3490073,3490185,0.27,1.57
"53","POLI","GH18F054263","chr18",54263551,54263700,0.25,13.71
"54","MBD2","GH18F054263","chr18",54263551,54263700,0.25,12.32
"55","C18orf54","GH18F054263","chr18",54263551,54263700,0.25,10.58
"56","FHOD3","GH18F036373","chr18",36373038,36373187,0.38,0.17
"57","TSHZ1","GH18F075239","chr18",75239511,75239920,0.25,12.06
"58","ZADH2","GH18F075239","chr18",75239511,75239920,0.25,12.05
"59","ST8SIA3","GH18F057389","chr18",57389409,57389558,0.77,0.25
"60","ELAC1","GH18F051107","chr18",51107001,51108200,0.59,15.03
"61","SMAD4","GH18F051107","chr18",51107001,51108200,0.59,10.49
"62","MEX3C","GH18F051149","chr18",51149535,51150787,0.84,17.8
"63","ME2","GH18F051149","chr18",51149535,51150787,0.84,7.32
"64","TMEM241","GH18F024181","chr18",24181577,24182366,1.12,4.02
"65","TXNL1","GH18F056660","chr18",56660217,56660597,0.5,5.31
"66","CHMP1B","GH18F011840","chr18",11840406,11841026,0.25,0.36
"67","BCL2","GH18F063087","chr18",63087587,63088936,0.96,11.56
"68","SLC14A2","GH18F045231","chr18",45231311,45232465,0.25,0.34
"69","RBBP8","GH18F022912","chr18",22912376,22917097,1.25,7.27
"70","RTTN","GH18F070294","chr18",70294601,70297423,0.87,10.48
"71","SOCS6","GH18F070294","chr18",70294601,70297423,0.87,0.4
"72","LIPG","GH18F049697","chr18",49697697,49698688,0.84,10.99
"73","PMAIP1","GH18F059838","chr18",59837629,59837798,0.69,11.67
"74","AKAIN1","GH18F005244","chr18",5244452,5246461,0.38,11.24
"75","SERPINB10","GH18F063963","chr18",63963727,63963916,0.62,15.1
"76","SERPINB8","GH18F063963","chr18",63963727,63963916,0.62,0.4
"77","HMSD","GH18F063963","chr18",63963727,63963916,0.62,0.36
"78","MYO5B","GH18F049921","chr18",49921791,49921940,0.81,4.23
"79","HAUS1","GH18F046323","chr18",46323904,46325347,0.5,11.05
"80","RNF165","GH18F046323","chr18",46323904,46325347,0.5,5.02
"81","COLEC12","GH18F000448","chr18",448861,450250,0.63,11.37
"82","CLUL1","GH18F000448","chr18",448861,450250,0.63,10.49
"83","BCL2","GH18F063149","chr18",63149927,63150317,1.15,16.93
"84","ATP9B","GH18F079170","chr18",79170001,79170400,0.38,8.39
"85","PIGN","GH18F062030","chr18",62030002,62030437,0.25,8.33
"86","PIGN","GH18F061997","chr18",61997665,62000256,1.36,12.88
"87","DYM","GH18F049206","chr18",49206511,49208054,1.37,1.41
"88","CEP192","GH18F013165","chr18",13165782,13165851,0.96,6.9
"89","CETN1","GH18F000505","chr18",505661,505810,0.65,10.96
"90","COLEC12","GH18F000505","chr18",505661,505810,0.65,0.4
"91","ANKRD29","GH18F023614","chr18",23614494,23615584,0.74,11.74
