"","chr","start","end","TargetGene","activity","hic_contact","ABC_Score","CellType"
"28891","chr15",22158219,22158719,"IGHV1OR15-1",0.6416,100,0.0307,"GM12878"
"28892","chr15",22160213,22161346,"IGHV1OR15-1",7.5421,100,0.3609,"GM12878"
"28893","chr15",22148045,22148545,"IGHV1OR15-1",1.042,41.9918,0.0209,"GM12878"
"28894","chr15",22163327,22164047,"IGHV1OR15-1",1.1856,100,0.0567,"GM12878"
"28895","chr15",22172920,22174531,"IGHV1OR15-1",10.8694,27.8436,0.1448,"GM12878"
"28896","chr15",22161354,22162285,"IGHV1OR15-1",5.602,100,0.2681,"GM12878"
"28897","chr15",22158219,22158719,"LOC102724760",0.6416,100,0.0307,"GM12878"
"28898","chr15",22160213,22161346,"LOC102724760",7.5421,100,0.3609,"GM12878"
"28899","chr15",22148045,22148545,"LOC102724760",1.042,41.9918,0.0209,"GM12878"
"28900","chr15",22163327,22164047,"LOC102724760",1.1856,100,0.0567,"GM12878"
"28901","chr15",22172920,22174531,"LOC102724760",10.8694,27.8436,0.1448,"GM12878"
"28902","chr15",22161354,22162285,"LOC102724760",5.602,100,0.2681,"GM12878"
"28903","chr15",22160213,22161346,"LOC642131",7.5421,26.8379,0.1451,"GM12878"
"28904","chr15",22148045,22148545,"LOC642131",1.042,28.6475,0.0214,"GM12878"
"28905","chr15",22163327,22164047,"LOC642131",1.1856,25.4887,0.0217,"GM12878"
"28906","chr15",22172920,22174531,"LOC642131",10.8694,56.6779,0.4417,"GM12878"
"28907","chr15",22177870,22178846,"LOC642131",1.3964,100,0.1001,"GM12878"
"28908","chr15",22161354,22162285,"LOC642131",5.602,26.8143,0.1077,"GM12878"
"28909","chr15",22796053,22797213,"TUBGCP5",13.3656,4.5396,0.0374,"GM12878"
"28910","chr15",23039403,23040272,"TUBGCP5",7.7944,100,0.4799,"GM12878"
"28911","chr15",22838368,22839061,"TUBGCP5",13.0218,4.67,0.0374,"GM12878"
"28912","chr15",23035884,23036384,"TUBGCP5",1.4949,100,0.092,"GM12878"
"28913","chr15",23038709,23039209,"TUBGCP5",2.3062,100,0.142,"GM12878"
