"","chr","start","end","TargetGene","activity","hic_contact","ABC_Score","CellType"
"60904","chr22",17158226,17160064,"CECR7",7.6898,9.0402,0.05,"GM12878"
"60905","chr22",17257486,17258455,"CECR7",10.3356,3.8865,0.0289,"GM12878"
"60906","chr22",17043474,17043974,"CECR7",0.887,100,0.0638,"GM12878"
"60907","chr22",17036319,17036819,"CECR7",1.0591,100,0.0762,"GM12878"
"60908","chr22",17218870,17219835,"CECR7",11.1826,4.5972,0.037,"GM12878"
"60909","chr22",18105826,18107345,"CECR7",27.5159,1.7727,0.0351,"GM12878"
"60910","chr22",17037150,17037985,"CECR7",1.7402,100,0.1252,"GM12878"
"60911","chr22",17084649,17085208,"CECR7",4.6872,6.5174,0.022,"GM12878"
"60912","chr22",17776954,17777718,"CECR7",20.7666,1.4379,0.0215,"GM12878"
"60913","chr22",17795088,17796589,"CECR7",22.7046,1.37,0.0224,"GM12878"
"60914","chr22",19478865,19480075,"CECR7",30.8062,1.0269,0.0227,"GM12878"
"60915","chr22",17158226,17160064,"IL17RA",7.6898,11.954,0.0451,"GM12878"
"60916","chr22",17218870,17219835,"IL17RA",11.1826,5.0496,0.0277,"GM12878"
"60917","chr22",17098324,17098962,"IL17RA",1.1932,34.1989,0.02,"GM12878"
"60918","chr22",18105826,18107345,"IL17RA",27.5159,1.853,0.025,"GM12878"
"60919","chr22",17087455,17088282,"IL17RA",3.2556,100,0.1596,"GM12878"
"60920","chr22",17216684,17218158,"IL17RA",8.0206,5.6903,0.0224,"GM12878"
"60921","chr22",17084649,17085208,"IL17RA",4.6872,100,0.2297,"GM12878"
"60922","chr22",17776954,17777718,"IL17RA",20.7666,2.9451,0.03,"GM12878"
"60923","chr22",17795088,17796589,"IL17RA",22.7046,2.5153,0.028,"GM12878"
"60924","chr22",17158226,17160064,"HDHD5-AS1",7.6898,100,0.2238,"GM12878"
"60925","chr22",17257486,17258455,"HDHD5-AS1",10.3356,16.0641,0.0483,"GM12878"
"60926","chr22",17218870,17219835,"HDHD5-AS1",11.1826,15.1396,0.0493,"GM12878"
"60927","chr22",17171460,17172442,"HDHD5-AS1",4.4182,56.0691,0.0721,"GM12878"
"60928","chr22",17637721,17638962,"HDHD5-AS1",16.7659,4.7286,0.0231,"GM12878"
"60929","chr22",17594546,17595553,"HDHD5-AS1",7.8867,8.9226,0.0205,"GM12878"
"60930","chr22",17216684,17218158,"HDHD5-AS1",8.0206,17.8674,0.0417,"GM12878"
"60931","chr22",17084649,17085208,"HDHD5-AS1",4.6872,21.0612,0.0287,"GM12878"
"60932","chr22",17243421,17243921,"HDHD5-AS1",5.9746,13.792,0.024,"GM12878"
"60933","chr22",17795088,17796589,"HDHD5-AS1",22.7046,3.7911,0.0251,"GM12878"
"60934","chr22",17257486,17258455,"ADA2",10.3356,27.5824,0.0642,"GM12878"
"60935","chr22",17218870,17219835,"ADA2",11.1826,100,0.2518,"GM12878"
"60936","chr22",17216684,17218158,"ADA2",8.0206,86.7471,0.1567,"GM12878"
"60937","chr22",17236914,17237520,"ADA2",5.5084,47.6408,0.0591,"GM12878"
"60938","chr22",17243421,17243921,"ADA2",5.9746,46.55,0.0626,"GM12878"
"60939","chr22",17303431,17304300,"ADA2",6.4507,16.3616,0.0238,"GM12878"
"60940","chr22",17220992,17221492,"ADA2",1.1872,100,0.0267,"GM12878"
"60941","chr22",17800390,17801288,"ATP6V1E1",23.1682,6.9442,0.037,"GM12878"
"60942","chr22",18105826,18107345,"ATP6V1E1",27.5159,3.9287,0.0248,"GM12878"
"60943","chr22",17637721,17638962,"ATP6V1E1",16.7659,53.6621,0.2068,"GM12878"
"60944","chr22",17639154,17639975,"ATP6V1E1",5.0938,53.7446,0.0629,"GM12878"
"60945","chr22",17594546,17595553,"ATP6V1E1",7.8867,18.4002,0.0334,"GM12878"
"60946","chr22",17776954,17777718,"ATP6V1E1",20.7666,7.7456,0.037,"GM12878"
"60947","chr22",17628572,17629238,"ATP6V1E1",9.3468,100,0.2148,"GM12878"
"60948","chr22",17795088,17796589,"ATP6V1E1",22.7046,6.7157,0.035,"GM12878"
"60949","chr22",17705911,17706843,"ATP6V1E1",8.566,11.9947,0.0236,"GM12878"
"60950","chr22",17800390,17801288,"BCL2L13",23.1682,10.0441,0.0428,"GM12878"
"60951","chr22",18105826,18107345,"BCL2L13",27.5159,5.6016,0.0284,"GM12878"
"60952","chr22",17637721,17638962,"BCL2L13",16.7659,100,0.3084,"GM12878"
"60953","chr22",17639154,17639975,"BCL2L13",5.0938,100,0.0937,"GM12878"
"60954","chr22",17594546,17595553,"BCL2L13",7.8867,17.0733,0.0248,"GM12878"
"60955","chr22",18077638,18078855,"BCL2L13",18.6973,6.2183,0.0214,"GM12878"
"60956","chr22",17776954,17777718,"BCL2L13",20.7666,9.1813,0.0351,"GM12878"
"60957","chr22",17628572,17629238,"BCL2L13",9.3468,63.7123,0.1096,"GM12878"
"60958","chr22",17795088,17796589,"BCL2L13",22.7046,7.1186,0.0297,"GM12878"
"60959","chr22",17705911,17706843,"BCL2L13",8.566,21.2106,0.0334,"GM12878"
"60960","chr22",17800390,17801288,"BID",23.1682,54.0639,0.1232,"GM12878"
"60961","chr22",17781263,17782105,"BID",7.1159,100,0.07,"GM12878"
"60962","chr22",17773662,17774162,"BID",2.9779,91.2523,0.0267,"GM12878"
"60963","chr22",17771393,17772316,"BID",4.0334,55.2824,0.0219,"GM12878"
"60964","chr22",17779308,17779808,"BID",5.5755,100,0.0549,"GM12878"
"60965","chr22",17799874,17800374,"BID",7.5717,54.0402,0.0403,"GM12878"
"60966","chr22",18077638,18078855,"BID",18.6973,12.4526,0.0229,"GM12878"
"60967","chr22",17776954,17777718,"BID",20.7666,100,0.2043,"GM12878"
"60968","chr22",17798137,17798637,"BID",9.6216,53.9803,0.0511,"GM12878"
"60969","chr22",17774245,17774745,"BID",2.5873,91.0607,0.0232,"GM12878"
"60970","chr22",17795088,17796589,"BID",22.7046,55.15,0.1232,"GM12878"
"60971","chr22",17800390,17801288,"LINC00528",23.1682,53.9681,0.123,"GM12878"
"60972","chr22",17781263,17782105,"LINC00528",7.1159,100,0.07,"GM12878"
"60973","chr22",17773662,17774162,"LINC00528",2.9779,91.9606,0.0269,"GM12878"
"60974","chr22",17771393,17772316,"LINC00528",4.0334,55.6107,0.0221,"GM12878"
"60975","chr22",17779308,17779808,"LINC00528",5.5755,100,0.0549,"GM12878"
"60976","chr22",17799874,17800374,"LINC00528",7.5717,53.9422,0.0402,"GM12878"
"60977","chr22",18077638,18078855,"LINC00528",18.6973,12.4505,0.0229,"GM12878"
"60978","chr22",17776954,17777718,"LINC00528",20.7666,100,0.2043,"GM12878"
"60979","chr22",17798137,17798637,"LINC00528",9.6216,53.8762,0.051,"GM12878"
"60980","chr22",17774245,17774745,"LINC00528",2.5873,91.8343,0.0234,"GM12878"
"60981","chr22",17795088,17796589,"LINC00528",22.7046,55.0326,0.1229,"GM12878"
"60982","chr22",17800390,17801288,"MICAL3",23.1682,4.3863,0.0453,"GM12878"
"60983","chr22",18105826,18107345,"MICAL3",27.5159,5.6383,0.0691,"GM12878"
"60984","chr22",17637721,17638962,"MICAL3",16.7659,3.8482,0.0287,"GM12878"
"60985","chr22",17964295,17965037,"MICAL3",3.5073,16.106,0.0252,"GM12878"
"60986","chr22",17974649,17975483,"MICAL3",3.6518,13.9648,0.0227,"GM12878"
"60987","chr22",18077638,18078855,"MICAL3",18.6973,7.2468,0.0604,"GM12878"
"60988","chr22",17776954,17777718,"MICAL3",20.7666,3.4317,0.0317,"GM12878"
"60989","chr22",17945780,17946907,"MICAL3",3.9835,17.1106,0.0304,"GM12878"
"60990","chr22",17906636,17907136,"MICAL3",0.6449,100,0.0287,"GM12878"
