"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","ABRA","GH08F106888","chr8",106888613,106890585,1.46,0.12
"2","TACC1","GH08F038743","chr8",38743853,38743920,0.25,0.34
"3","ASAP1","GH08F130544","chr8",130544195,130545106,0.52,0.14
"4","UNC5D","GH08F035328","chr8",35326783,35326932,0.46,4.04
"5","CSGALNACT1","GH08F020093","chr8",20093130,20093224,0.46,8.5
"6","AP3M2","GH08F042151","chr8",42151606,42157534,0.38,37.63
"7","IKBKB","GH08F042151","chr8",42151606,42157534,0.38,30.28
"8","POLB","GH08F042151","chr8",42151606,42157534,0.38,10.62
"9","KAT6A","GH08F042151","chr8",42151606,42157534,0.38,10.22
"10","DKK4","GH08F042151","chr8",42151606,42157534,0.38,9.98
"11","TUSC3","GH08F015504","chr8",15504632,15507340,1.19,10.41
"12","RMDN1","GH08F086390","chr8",86390758,86392446,0.71,24.4
"13","WWP1","GH08F086390","chr8",86390758,86392446,0.71,7.53
"14","CHD7","GH08F060707","chr8",60707189,60709606,0.9,0.29
"15","PKHD1L1","GH08F109065","chr8",109065852,109066001,0.59,3.9
"16","TRHR","GH08F109065","chr8",109065852,109066001,0.59,0.31
"17","OXR1","GH08F106656","chr8",106656617,106660701,1.06,22.86
"18","INTS8","GH08F094813","chr8",94813533,94813722,0.38,0.76
"19","CSMD3","GH08F113433","chr8",113433334,113433495,0.48,10.85
"20","KLHL38","GH08F123579","chr8",123579800,123581914,1.07,10.88
"21","ANXA13","GH08F123579","chr8",123579800,123581914,1.07,10.78
"22","FBXO32","GH08F123579","chr8",123579800,123581914,1.07,10.69
"23","WDYHV1","GH08F123579","chr8",123579800,123581914,1.07,9.9
"24","ATAD2","GH08F123579","chr8",123579800,123581914,1.07,9.9
"25","PNOC","GH08F028318","chr8",28317224,28317373,0.25,0.76
"26","SDCBP","GH08F058154","chr8",58154402,58157864,1.43,6.25
"27","SORBS3","GH08F022459","chr8",22459468,22459617,0.38,11.7
"28","PDLIM2","GH08F022459","chr8",22459468,22459617,0.38,10.73
"29","PPP3CC","GH08F022459","chr8",22459468,22459617,0.38,0.34
"30","ASAP1","GH08F130041","chr8",130041002,130043599,1.68,8.15
