chr	start	end	actual_start	actual_end	signal	kappa	tau	W_KS	P_KS	P_KS_k1	P_KS_k2	P_KS_k3	P_KS_k4	P_KS_k5	MAF
1	769223	769223	769223	769223	0	1	1.03741177730669	0	0.500292550826083	0.0458999549344744	0.990461583988997	0.297993314292089	0.267494415206299	0.594695249797482	0.12784632360317
1	801536	801536	801536	801536	0	1	0.287755049392241	0	0.330519284240775	0.17038907851364	0.374171415166446	0.748918283953662	0.299180329211186	0.172931804859253	0.0159
1	833927	833927	833927	833927	0	0	0.556465671163971	0.556465671163971	0.251478505405058	0.259943285673582	0.920244654793678	0.983203574303544	0.905662825496139	0.697874733635145	0.211963067041349
1	834263	834263	834263	834263	0	3	1.08413929105474	0	0.710218698499477	0.767392773362793	0.775063993400333	0.0585130600681056	0.274844760168117	0.421606450476791	0.0217762167586553
1	837657	837657	837657	837657	0	3	0.235488350787954	0	0.804936689831776	0.650592131546348	0.955911788755739	0.378286162825766	0.407971509088819	0.579371280684615	0.0158253205128205
1	840753	840753	840753	840753	0	2	0.13606833223813	0	0.937543734682944	0.395942533841874	0.338283986614577	0.462753564015219	0.711800860876075	0.461123259929982	0.404
1	844300	844300	844300	844300	0	2	1.39378811749947	0	0.609067030091854	0.344144219936199	0.00914868789822397	0.019717493850377	0.226541060725634	0.117839747898758	0.179981911365692
1	850371	850371	850371	850371	0	2	1.99523975842045	0	0.886768682203722	0.864512799371108	0.00474164384297743	0.46899551363432	0.0852205169767629	0.135073158817573	0.397467974379504
1	851390	851390	851390	851390	0	0	1.21513473208127	1.21513473208127	0.0390517441935633	0.70746164080274	0.640877711485193	0.771796055422119	0.585351354907298	0.349187702378318	0.0419
1	862772	862772	862772	862772	0	3	1.76185466114018	0	0.336093256772053	0.516341324782614	0.561368875556077	0.00971390090742454	0.647259445209398	0.679046635862541	0.03035
1	864490	864490	864490	864490	0	5	0.390906930470344	0	0.32348658347871	0.563351351753266	0.311287595542396	0.782787761538951	0.856813643901934	0.22901947262802	0.0409
1	867663	867663	867663	867663	0	5	0.924959752070289	0	0.114930238547869	0.42782603594289	0.729690718168399	0.560316375543179	0.156726672457301	0.0508519321153494	0.0192982456140351
1	872352	872352	872352	872352	0	5	0.52848999049344	0	0.385132747163095	0.661465266421897	0.259338662510189	0.306775182842447	0.970092071970536	0.11405660939445	0.268009645333066
1	876499	876499	876499	876499	0	2	0.297257987188584	0	0.432279774667152	0.597317305995503	0.301263911488087	0.709655782719663	0.411215652314143	0.81011676979797	0.0521521521521522
1	878331	878331	878331	878331	0	2	1.58327367992098	0	0.786816125282177	0.864309963197179	0.0225629478375522	0.95730945756897	0.791566778464133	0.90302293151195	0.0130840184479647
1	879482	879482	879482	879482	0	0	1.1378402169039	1.1378402169039	0.0338443786644891	0.403877885090986	0.930226458607675	0.428934641739114	0.559832232598615	0.464864907177254	0.011623246492986
1	881918	881918	881918	881918	0	5	0.995836296592207	0	0.949775193859631	0.328325933693277	0.2242331096284	0.520103246551693	0.487287318932103	0.0491981546062671	0.0705
1	891620	891620	891620	891620	0	3	2.13601134302359	0	0.221219929197384	0.261381273369494	0.291799422544351	0.00191101073355143	0.200168115227256	0.901809900968608	0.0187449474535166
1	894519	894519	894519	894519	0	2	1.80906158497062	0	0.97506413177408	0.524962525518236	0.00814829450543317	0.890531791874276	0.345795184036494	0.33526182873917	0.02205
1	907609	907609	907609	907609	0	0	1.31369065961007	1.31369065961007	0.0411091745322669	0.95649662011715	0.596874981424414	0.846504782121505	0.958525677456605	0.409487205154223	0.015645371577575
1	910512	910512	910512	910512	0	2	0.582576063917221	0	0.294608070410933	0.281298059896699	0.0770315391862968	0.227669538189488	0.860956654626195	0.514411320280174	0.0120943358193913
1	913610	913610	913610	913610	0	3	0.802202732737338	0	0.330191160675343	0.119406549453558	0.0137795755975088	0.00296992489700871	0.0188342443193334	0.0173767313254899	0.160231271995978
1	914333	914333	914333	914333	0	1	0.893303940887914	0	0.173983924340399	0.0257527492366676	0.201431570997804	0.862815696851498	0.174751213094164	0.294217214764747	0.395382758273815
1	914876	914876	914876	914876	0	0	0.662495529338196	0.662495529338196	0.195319731585535	0.897928276632367	0.396448622025963	0.922956688214181	0.91028554693062	0.274216396927391	0.0268957227286387
1	916549	916549	916549	916549	0	0	1.31060319502932	1.31060319502932	0.0232058709565107	0.786161506425859	0.585861100458683	0.474461598742793	0.298937804860624	0.417797023355871	0.245755901557007
1	920503	920503	920503	920503	0	1	3.00930902962127	0	0.0830239933502431	0.000270813755294211	0.872553042425999	0.250582966232824	0.27668126273781	0.969136197993626	0.147710115752391
1	921071	921071	921071	921071	0	0	0.657732397347234	0.657732397347234	0.130251376743704	0.566108209019937	0.456439267050871	0.592263160449926	0.760515125492637	0.675186537345686	0.08585
1	939950	939950	939950	939950	0	2	0.250353837073982	0	0.73217782969197	0.468344574026949	0.205311093801207	0.343044753315735	0.36539807393283	0.228124195266223	0.0149540264726685
1	940203	940203	940203	940203	0	0	0.25953066307238	0.25953066307238	0.343871998243383	0.912565365174241	0.565130753079776	0.625068301373621	0.5509538437517	0.671466418012626	0.0626
1	945349	945349	945349	945349	0	1	1.05115468360119	0	0.522441518290756	0.046439014978005	0.340048377169222	0.0845435562920892	0.967782902453834	0.941097571193013	0.0355517346009912
1	949608	949608	949608	949608	0	3	0.37093532003006	0	0.565997145875514	0.892706766478932	0.602891863841469	0.320276800201457	0.752420814279109	0.848418656663252	0.39
1	956998	956998	956998	956998	0	4	0.552663321945242	0	0.724755366494697	0.213561814592426	0.1165373509614	0.3188334759732	0.0893101033622095	0.706346017592004	0.0180479935470861
1	957640	957640	957640	957640	0	5	0.616828293058292	0	0.148133930228674	0.665751208779176	0.109564137022924	0.851651598933253	0.408797601522705	0.0987825074742254	0.0102224894768491
1	958204	958204	958204	958204	0	1	1.47225433114002	0	0.708611117102251	0.0151889450237497	0.450590406896689	0.313675530544345	0.182523058812804	0.924595880751718	0.0137716123843989
1	959509	959509	959509	959509	0	3	0.89446153245354	0	0.517421988941323	0.482465567529309	0.118455586101374	0.0615183660208183	0.0661982235886756	0.872058840835507	0.10275
1	962720	962720	962720	962720	0	4	0.0586146419628976	0	0.975524931542352	0.962071969417954	0.619090413465187	0.655232205993014	0.572506726647426	0.584100547196245	0.1354
1	963721	963721	963721	963721	0	1	2.52184666547689	0	0.978824095765747	0.00177411181190224	0.351280689487068	0.435952079615404	0.914617660149474	0.589966908934292	0.0739865204707775
1	986732	986732	986732	986732	0	5	0.978800708571306	0	0.038649022582611	0.221089728063582	0.345690093529576	0.630333834468555	0.723898954063178	0.0362982949714723	0.0113
1	987253	987253	987253	987253	0	1	2.52656434130943	0	0.752246005504843	0.00223766747302072	0.806374128178627	0.0344770400984947	0.40157504353822	0.838935832591521	0.02765
1	998170	998170	998170	998170	0	4	0.631186367833617	0	0.486829525911901	0.963627499129086	0.849185890240223	0.172539210753509	0.171702008376711	0.734449167532896	0.0205223880597015
1	998395	998395	998395	998395	0	1	0.241133406471355	0	0.595260335931422	0.40430963715974	0.704445663195467	0.838241291026353	0.910371156939064	0.555231666873982	0.264422110552764
1	1001290	1001290	1001290	1001290	0	4	0.244988883260035	0	0.25112666359517	0.229422874386131	0.296667637070649	0.311777264800781	0.168764574686143	0.472947325993918	0.0877430346762878
1	1002387	1002387	1002387	1002387	0	5	1.47527257310119	0	0.201972669541318	0.408537971757081	0.586299115483107	0.06101774135591	0.31504859012074	0.0105464176852078	0.231217942270944
1	1009234	1009234	1009234	1009234	0	5	0.667141999931514	0	0.818469485199981	0.922593664703685	0.196735063118624	0.472390680353606	0.941013830937803	0.176141014114524	0.42269389397445
