chr	start	end	actual_start	actual_end	signal	kappa	tau	W	P_KS	P_KS_k1	P_KS_k2	P_KS_k3	P_KS_k4	P_KS_k5	burden_MAF<0.01&MAC>25&Beta	dispersion_MAF<0.01&MAC>25&Beta	singleCauchy
1	1378216	1383216	1378216	1381253	0	2	1.6048877252274	0	0.293769170194501	0.866180788395482	0.0215139830320956	0.903852302804825	0.398435440270671	0.972673118203374	0.451094529296666	0.267872912257059	0.218273575479336
1	1378216	1388216	1378216	1384038	0	2	1.03005672032859	0	0.364563751388353	0.867959485547054	0.0340186256520441	0.943001000828485	0.249776278191844	0.170590821356675	0.378878000918713	0.400933628571771	0.319276200480087
1	1380716	1385716	1381253	1384038	0	5	1.5177971237246	0	0.908948623046368	0.863591025096413	0.981514001154881	0.837586219194342	0.639568851439427	0.0262126540945635	0.961286984878714	0.813903471948063	0.649485345038241
1	1383216	1393216	1384038	1391374	0	5	0.599676300949832	0	0.604149050139011	0.399726967657176	0.822966035902555	0.460622177487209	0.204318894077741	0.115789330566668	0.43929176296239	0.737713594565804	0.588554570616844
1	1388216	1398216	1391374	1393546	0	0	0.70057944413896	0.70057944413896	0.0695557449724042	0.349069939395094	0.754661598914808	0.348612135579472	0.112923554528364	0.633002043015678	0.0580068829412785	0.114067589313222	0.0581475545113006
1	1393216	1403216	1393546	1401764	0	0	1.39430073103506	1.39430073103506	0.00940485571314342	0.189554008761806	0.966459110570258	0.828230677047846	0.098135790879526	0.233159367294334	0.00428044208672858	0.0164761968358864	0.0403580614216755
1	1398216	1408216	1401764	1403788	0	1	0.401853913330071	0	0.289617668070241	0.238812685996449	0.98258908573297	0.973636124551556	0.378085152866603	0.602436541460412	0.299452479838033	0.274279174842417	0.296057957338302
1	1403216	1413216	1403788	1411863	0	2	0.723483486746624	0	0.501985493904718	0.970093957032981	0.183370856075096	0.971036946870969	0.974810821331737	0.968538025210362	0.309433891682504	0.574545266150496	0.637851791421172
1	1408216	1413216	1408445	1411863	0	2	0.822588702274861	0	0.21635438403742	0.897114602582952	0.124585147287832	0.663841013735677	0.935342136176053	0.828046969829925	0.165174475281062	0.251801594309496	0.254448576375682
1	1413216	1423216	1420466	1422634	0	3	1.17595791213871	0	0.603525763860601	0.128686343082443	0.332960037467164	0.0402474066963982	0.970513435639196	0.953454291584359	0.592368180427346	0.579084323211237	0.637058705038408
