"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","BCL11B","GH14F099255","chr14",99721772,99741541,2.66,26.02
"2","BCL11B","GH14F099225","chr14",99691898,99703537,2.65,12.58
"3","SETD3","GH14F099225","chr14",99691898,99703537,2.65,4.43
"4","SFTA3","GH14F036441","chr14",36911162,36914360,2.59,0.18
"5","NPAS3","GH14F032724","chr14",33193531,33195621,2.47,2.25
"6","AKAP6","GH14F032724","chr14",33193531,33195621,2.47,1.8
"7","NPAS3","GH14F032701","chr14",33171049,33173758,2.45,2.41
"8","AKAP6","GH14F032701","chr14",33171049,33173758,2.45,2.27
"9","CDC42BPB","GH14F103332","chr14",103798354,103803036,2.13,19.29
"10","MARK3","GH14F103332","chr14",103798354,103803036,2.13,11.56
"11","CKB","GH14F103332","chr14",103798354,103803036,2.13,7.36
"12","ZFYVE21","GH14F103332","chr14",103798354,103803036,2.13,5.21
"13","EIF5","GH14F103332","chr14",103798354,103803036,2.13,0.76
"14","FOXA1","GH14F037246","chr14",37715701,37715830,2.09,10
"15","MIPOL1","GH14F037246","chr14",37715701,37715830,2.09,0.23
"16","IFT43","GH14F075247","chr14",75713705,75727748,2.07,15.19
"17","NEK9","GH14F075247","chr14",75713705,75727748,2.07,11.69
"18","ACYP1","GH14F075247","chr14",75713705,75727748,2.07,10.43
"19","FOS","GH14F075247","chr14",75713705,75727748,2.07,5.45
"20","ABCD4","GH14F075247","chr14",75713705,75727748,2.07,4.69
"21","YLPM1","GH14F075247","chr14",75713705,75727748,2.07,1.41
"22","SNW1","GH14F076912","chr14",77379161,77398942,2.07,18.7
"23","ALKBH1","GH14F076912","chr14",77379161,77398942,2.07,16.58
"24","IRF2BPL","GH14F076912","chr14",77379161,77398942,2.07,14.99
"25","ZDHHC22","GH14F076912","chr14",77379161,77398942,2.07,2.57
"26","VASH1","GH14F076912","chr14",77379161,77398942,2.07,1.69
"27","NGB","GH14F076912","chr14",77379161,77398942,2.07,1.43
"28","CIPC","GH14F076912","chr14",77379161,77398942,2.07,1.18
"29","PRKD1","GH14F030272","chr14",30741750,30743626,2.06,0.16
"30","BCL11B","GH14F099251","chr14",99718040,99721168,2.06,17.96
"31","DEGS2","GH14F099251","chr14",99718040,99721168,2.06,6.23
"32","LIN52","GH14F074133","chr14",74600292,74602902,2.02,18.92
"33","ALDH6A1","GH14F074133","chr14",74600292,74602902,2.02,10.85
"34","ENTPD5","GH14F074133","chr14",74600292,74602902,2.02,8.17
"35","MBIP","GH14F036272","chr14",36741407,36742005,1.96,17.43
"36","NKX2-8","GH14F036272","chr14",36741407,36742005,1.96,9.41
"37","GTF2A1","GH14F081176","chr14",81642577,81644743,1.94,15.57
"38","GNG2","GH14F051905","chr14",52371795,52373317,1.86,27.71
"39","C14orf166","GH14F051905","chr14",52371795,52373317,1.86,11.04
"40","PTGER2","GH14F051905","chr14",52371795,52373317,1.86,6.76
"41","SFTA3","GH14F036463","chr14",36933150,36934532,1.81,0.23
"42","DACT1","GH14F058532","chr14",58999701,59002357,1.81,10.37
"43","WDR25","GH14F100434","chr14",100900338,100910537,1.77,24.03
"44","BEGAIN","GH14F100434","chr14",100900338,100910537,1.77,13.14
"45","WARS","GH14F100434","chr14",100900338,100910537,1.77,12.63
"46","SLC25A47","GH14F100434","chr14",100900338,100910537,1.77,10.42
"47","TMED10","GH14F075227","chr14",75694305,75706784,1.76,11.52
"48","JDP2","GH14F075227","chr14",75694305,75706784,1.76,9.68
"49","EIF2B2","GH14F075227","chr14",75694305,75706784,1.76,6.21
"50","NEK9","GH14F075227","chr14",75694305,75706784,1.76,4.73
"51","FOS","GH14F075227","chr14",75694305,75706784,1.76,3.95
"52","YLPM1","GH14F075227","chr14",75694305,75706784,1.76,1.22
"53","SERPINA10","GH14F094597","chr14",95063495,95069586,1.76,37.96
"54","SERPINA3","GH14F094597","chr14",95063495,95069586,1.76,36.16
"55","SERPINA1","GH14F094597","chr14",95063495,95069586,1.76,28.87
"56","SERPINA5","GH14F094597","chr14",95063495,95069586,1.76,22.98
"57","SERPINA6","GH14F094597","chr14",95063495,95069586,1.76,19.04
"58","SERPINA11","GH14F094597","chr14",95063495,95069586,1.76,18.43
"59","SERPINA4","GH14F094597","chr14",95063495,95069586,1.76,11.22
