"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","RPS6KC1","GH01F213324","chr1",213498112,213501390,2.92,1.93
"2","EXOSC10","GH01F010662","chr1",10722544,10750657,2.92,11.56
"3","C1orf127","GH01F010662","chr1",10722544,10750657,2.92,10.42
"4","PGD","GH01F010662","chr1",10722544,10750657,2.92,4.46
"5","RBP7","GH01F010662","chr1",10722544,10750657,2.92,4.42
"6","CASZ1","GH01F010662","chr1",10722544,10750657,2.92,1.59
"7","NFIA","GH01F061447","chr1",61913109,61921139,2.77,3.28
"8","SDCCAG8","GH01F243729","chr1",243893168,243896501,2.72,5.52
"9","RNF220","GH01F044523","chr1",44988731,44991682,2.68,10.69
"10","ERI3","GH01F044523","chr1",44988731,44991682,2.68,10.12
"11","C1orf127","GH01F010735","chr1",10795106,10800058,2.68,10.23
"12","CASZ1","GH01F010735","chr1",10795106,10800058,2.68,0.2
"13","ANGPTL7","GH01F010790","chr1",10850682,10857051,2.67,23.91
"14","EXOSC10","GH01F010790","chr1",10850682,10857051,2.67,10.18
"15","CASZ1","GH01F010790","chr1",10850682,10857051,2.67,4.81
"16","ESRRG","GH01F216599","chr1",216772416,216775341,2.64,5.16
"17","USH2A","GH01F216599","chr1",216772416,216775341,2.64,0.09
"18","CASZ1","GH01F010865","chr1",10925202,10927857,2.54,1.76
"19","SDCCAG8","GH01F243712","chr1",243876096,243878135,2.53,5.2
"20","AKT3","GH01F243420","chr1",243583703,243585705,2.47,10.5
"21","CEP170","GH01F243420","chr1",243583703,243585705,2.47,4.87
"22","SDCCAG8","GH01F243420","chr1",243583703,243585705,2.47,1.74
"23","PBX1","GH01F164630","chr1",164599578,164612301,2.4,0.16
"24","PBX1","GH01F164703","chr1",164672362,164674206,2.34,9.72
"25","C1orf127","GH01F010903","chr1",10963438,10966456,2.34,0.17
"26","DMRTA2","GH01F050699","chr1",51165195,51166786,2.29,4.69
"27","CDKN2C","GH01F050699","chr1",51165195,51166786,2.29,4.47
"28","PIGV","GH01F026721","chr1",27047693,27054690,2.27,27.06
