"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","C10orf11","GH10F076033","chr10",77792901,77797889,2.88,12.1
"2","ZNF503","GH10F076033","chr10",77792901,77797889,2.88,11.2
"3","EMX2","GH10F117549","chr10",119309200,119313574,2.82,27.37
"4","RAB11FIP2","GH10F117549","chr10",119309200,119313574,2.82,4.03
"5","AGAP5","GH10F074417","chr10",76177689,76179072,2.56,16.71
"6","ZSWIM8","GH10F074417","chr10",76177689,76179072,2.56,11.96
"7","KAT6B","GH10F074417","chr10",76177689,76179072,2.56,11.5
"8","EBF3","GH10F129870","chr10",131668676,131670152,2.37,1.79
"9","INPP5A","GH10F132665","chr10",134478906,134482470,2.35,4.79
"10","CHST15","GH10F123429","chr10",125188987,125190075,2.34,4.95
"11","TCF7L2","GH10F112985","chr10",114744761,114747173,2.23,19.12
"12","FAM170B","GH10F049001","chr10",50209461,50210767,2.22,12.63
"13","DRGX","GH10F049395","chr10",50603805,50605254,2.16,8.62
"14","LOXL4","GH10F098173","chr10",99932923,99933710,2.16,10.01
"15","EBF3","GH10F129970","chr10",131768490,131771890,2.14,0.4
"16","DPCD","GH10F101485","chr10",103245010,103246610,2.12,10.75
"17","TLX1","GH10F101485","chr10",103245010,103246610,2.12,10.29
"18","POLL","GH10F101485","chr10",103245010,103246610,2.12,9.9
"19","ADK","GH10F074588","chr10",76348128,76350406,2.09,8.71
"20","C10orf107","GH10F061832","chr10",63592003,63600454,2.06,8.72
"21","ARID5B","GH10F061832","chr10",63592003,63600454,2.06,0.19
"22","ACSL5","GH10F113125","chr10",114885224,114894198,2.06,4.65
"23","TCF7L2","GH10F113125","chr10",114885224,114894198,2.06,2.66
"24","EBF3","GH10F129949","chr10",131747593,131763801,2.05,2.92
"25","KLF6","GH10F003802","chr10",3844594,3855677,2.05,32.81
"26","ZNF503","GH10F076113","chr10",77873559,77875759,2.03,4.44
"27","MGMT","GH10F129647","chr10",131445787,131447685,2.01,29.95
"28","ZDHHC6","GH10F112530","chr10",114290361,114296757,2.01,1.89
"29","VTI1A","GH10F112530","chr10",114290361,114296757,2.01,1.53
"30","NRBF2","GH10F063166","chr10",64925837,64927132,1.99,7.48
"31","REEP3","GH10F063166","chr10",64925837,64927132,1.99,4.89
"32","COMTD1","GH10F075261","chr10",77021198,77023939,1.96,0.29
"33","SLC25A28","GH10F100653","chr10",102413325,102415578,1.96,9.85
"34","HIF1AN","GH10F100653","chr10",102413325,102415578,1.96,4.24
"35","COX15","GH10F100653","chr10",102413325,102415578,1.96,4.07
"36","NDUFB8","GH10F100653","chr10",102413325,102415578,1.96,0.11
"37","MGMT","GH10F129716","chr10",131514465,131516186,1.94,4.82
"38","INPP5A","GH10F132626","chr10",134440306,134448703,1.93,7.04
"39","PAOX","GH10F132626","chr10",134440306,134448703,1.93,4.35
