"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","SNAI2","GH08F048579","chr8",49491647,49497018,3.02,1.79
"2","DDHD2","GH08F037513","chr8",37371493,37380517,2.5,9.9
"3","ZNF703","GH08F037513","chr8",37371493,37380517,2.5,9.72
"4","ZFHX4","GH08F076672","chr8",77584402,77587734,2.43,2.18
"5","DDHD2","GH08F037357","chr8",37215330,37219319,2.4,13.34
"6","AARD","GH08F116516","chr8",117529030,117530558,2.37,7.33
"7","ST18","GH08F052292","chr8",53205521,53209160,2.37,1.71
"8","TRPS1","GH08F115448","chr8",116460141,116465827,2.25,3.34
"9","GATA4","GH08F011696","chr8",11554412,11579487,2.17,26.13
"10","BLK","GH08F011696","chr8",11554412,11579487,2.17,11.07
"11","FAM167A","GH08F011696","chr8",11554412,11579487,2.17,10.55
"12","CTSB","GH08F011696","chr8",11554412,11579487,2.17,4.63
"13","NEIL2","GH08F011696","chr8",11554412,11579487,2.17,4.54
"14","C8orf49","GH08F011696","chr8",11554412,11579487,2.17,0.22
"15","RAB2A","GH08F060583","chr8",61495921,61496959,2.14,26.9
"16","KIF13B","GH08F029063","chr8",28921329,28925841,2.06,16.5
"17","ZNF395","GH08F029063","chr8",28921329,28925841,2.06,10.26
"18","TOX","GH08F058828","chr8",59741545,59747371,2.06,8.38
"19","RUNX1T1","GH08F092007","chr8",93019698,93022970,2.02,0.14
"20","EXT1","GH08F117846","chr8",118858713,118863229,2.01,5.3
"21","KCNU1","GH08F036879","chr8",36736962,36739997,2.01,4.26
"22","EIF3H","GH08F116656","chr8",117669169,117671939,1.87,6.42
"23","UTP23","GH08F116656","chr8",117669169,117671939,1.87,0.13
"24","ZNF696","GH08F143493","chr8",144575330,144577924,1.87,11.46
"25","ZNF623","GH08F143493","chr8",144575330,144577924,1.87,10.79
"26","CYHR1","GH08F143493","chr8",144575330,144577924,1.87,10.1
"27","VPS28","GH08F143493","chr8",144575330,144577924,1.87,9.66
