"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","ZNF423","GH16F049695","chr16",49729641,49738499,2.52,12.91
"2","MARVELD3","GH16F072370","chr16",72404533,72407591,2.48,7.02
"3","TOX3","GH16F052577","chr16",52611594,52613078,2.09,0.27
"4","RPGRIP1L","GH16F053895","chr16",53929213,53929824,2.07,0.08
"5","TOX3","GH16F052496","chr16",52530421,52531971,2.07,0.22
"6","HPR","GH16F072858","chr16",72892426,72894309,1.98,5.21
"7","DHX38","GH16F072858","chr16",72892426,72894309,1.98,4.75
"8","IRX3","GH16F054289","chr16",54323420,54324336,1.94,0.76
"9","CES2","GH16F066902","chr16",66936401,66940486,1.9,24.79
"10","RRAD","GH16F066902","chr16",66936401,66940486,1.9,15.34
"11","FAM96B","GH16F066902","chr16",66936401,66940486,1.9,12.08
"12","EXOC3L1","GH16F066902","chr16",66936401,66940486,1.9,9.95
"13","E2F4","GH16F066902","chr16",66936401,66940486,1.9,9.95
"14","KIAA0895L","GH16F066902","chr16",66936401,66940486,1.9,9.95
"15","C16orf70","GH16F066902","chr16",66936401,66940486,1.9,9.84
"16","CES3","GH16F066902","chr16",66936401,66940486,1.9,9.48
"17","ELMO3","GH16F066902","chr16",66936401,66940486,1.9,5.93
"18","BEAN1","GH16F066902","chr16",66936401,66940486,1.9,4.82
"19","NOL3","GH16F066902","chr16",66936401,66940486,1.9,1.61
"20","LITAF","GH16F011574","chr16",11668452,11671606,1.83,22.56
"21","TXNDC11","GH16F011574","chr16",11668452,11671606,1.83,7.66
"22","SNN","GH16F011574","chr16",11668452,11671606,1.83,5.83
"23","SOCS1","GH16F011574","chr16",11668452,11671606,1.83,3.94
"24","SNX29","GH16F011574","chr16",11668452,11671606,1.83,3.93
"25","ZC3H7A","GH16F011574","chr16",11668452,11671606,1.83,2.66
"26","ABCC1","GH16F015970","chr16",16064047,16072266,1.81,26.82
"27","RRN3","GH16F015970","chr16",16064047,16072266,1.81,20.38
"28","FOPNL","GH16F015970","chr16",16064047,16072266,1.81,11.42
"29","NPIPA5","GH16F015970","chr16",16064047,16072266,1.81,11.41
"30","NDE1","GH16F015970","chr16",16064047,16072266,1.81,1.96
"31","RPGRIP1L","GH16F053947","chr16",53980428,53981311,1.81,0.06
"32","IRX6","GH16F055295","chr16",55329289,55330760,1.81,12.01
"33","PLCG2","GH16F081829","chr16",81863207,81868912,1.8,37.62
"34","CMIP","GH16F081829","chr16",81863207,81868912,1.8,8.95
"35","BFAR","GH16F015588","chr16",15682483,15687875,1.8,31.79
"36","RRN3","GH16F015588","chr16",15682483,15687875,1.8,24.94
"37","NDE1","GH16F015588","chr16",15682483,15687875,1.8,13.41
"38","KIAA0430","GH16F015588","chr16",15682483,15687875,1.8,8.91
"39","C16orf45","GH16F015588","chr16",15682483,15687875,1.8,7.04
"40","NPIPA1","GH16F015588","chr16",15682483,15687875,1.8,5.76
"41","CREBBP","GH16F002903","chr16",2953603,2957800,1.79,37.01
"42","FLYWCH2","GH16F002903","chr16",2953603,2957800,1.79,22.51
"43","THOC6","GH16F002903","chr16",2953603,2957800,1.79,21.82
"44","ZNF597","GH16F002903","chr16",2953603,2957800,1.79,20.28
"45","ZNF598","GH16F002903","chr16",2953603,2957800,1.79,19.2
"46","ZNF263","GH16F002903","chr16",2953603,2957800,1.79,13.68
"47","PRSS22","GH16F002903","chr16",2953603,2957800,1.79,12.51
"48","TRAF7","GH16F002903","chr16",2953603,2957800,1.79,10.23
"49","FLYWCH1","GH16F002903","chr16",2953603,2957800,1.79,6.83
"50","RPGRIP1L","GH16F053952","chr16",53985914,53988193,1.78,0.06
"51","HPR","GH16F072589","chr16",72623665,72625279,1.77,4.39
"52","CDH13","GH16F082659","chr16",82693207,82695787,1.77,11.19
"53","PLCG2","GH16F082659","chr16",82693207,82695787,1.77,4.42
"54","PLCG2","GH16F081840","chr16",81873806,81877604,1.76,21.41
"55","CMIP","GH16F081840","chr16",81873806,81877604,1.76,5.28
"56","MPHOSPH6","GH16F082195","chr16",82228606,82231999,1.76,2.24
